"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1999,"Maine",243,178,0.73,0,0,0,0,1283547,0
1999,"Michigan",928,666,0.72,568,0.85,0,0,10763743,7088631
1999,"Minnesota",481,318,0.66,0,0,0,0,4823751,0
1999,"Missouri",723,247,0.34,0,0,0,0,5543399,0
1999,"Mississippi",253,117,0.46,0,0,0,0,2769107,0
1999,"Montana",142,45,0.32,0,0,0,0,961317,0
1999,"Nebraska",336,251,0.75,12,0.05,0,0,1762297,230294
1999,"North Carolina",814,467,0.57,0,0,0,0,7671532,0
1999,"North Dakota",159,98,0.62,77,0.79,0,0,696916,501221
1999,"New Hampshire",273,69,0.25,9,0.13,0,0,1458597,109409
1999,"New Jersey",653,517,0.79,0,0,0,0,8188146,0
1999,"New Mexico",150,84,0.56,0,0,0,0,1754684,0
1999,"Nevada",76,36,0.47,0,0,0,0,1814905,0
1999,"New York",1159,702,0.61,0,0,1,0.00,19992301,0
1999,"Ohio",974,402,0.41,69,0.17,0,0,12205333,1904230
1999,"Oklahoma",493,303,0.61,0,0,0,0,3405170,0
1999,"Oregon",302,202,0.67,1,0.00,0,0,3388729,35163
1999,"Pennsylvania",1881,1000,0.53,0,0,0,0,12422113,0
1999,"Puerto Rico",24,0,0,0,0,0,0,0,0
1999,"Rhode Island",62,46,0.74,0,0,0,0,997138,0
1999,"South Carolina",715,330,0.46,274,0.83,0,0,3946364,3882611
1999,"South Dakota",188,72,0.38,0,0,0,0,743276,0
1999,"Tennessee",720,474,0.66,338,0.71,0,0,7571031,4509059
1999,"Texas",1263,947,0.75,53,0.06,1,0.00,20558713,1624976
1999,"Utah",196,119,0.61,55,0.46,1,0.01,2769245,1534584
1999,"US Virgin Islands",3,0,0,0,0,0,0,0,0
1999,"Virginia",553,458,0.83,351,0.77,2,0.00,8952151,5744686
1999,"Vermont",107,64,0.60,42,0.66,0,0,618872,492734
1999,"Washington",325,239,0.74,4,0.02,0,0,6335124,562199
1999,"Wisconsin",487,357,0.73,1,0.00,0,0,5895408,580899
1999,"West Virginia",583,294,0.50,247,0.84,0,0,2213231,1521631
1999,"Wyoming",83,66,0.80,0,0,0,0,484327,0
1999,"Mariana Islands",1,0,0,0,0,0,0,0,0
1999,"Other",0,0,0,0,0,0,0,0,0
2000,"Alaska",51,32,0.63,0,0,0,0,626932,0
2000,"Alabama",485,218,0.45,0,0,0,0,4488050,0
2000,"Arkansas",344,199,0.58,4,0.02,0,0,2902270,185894
2000,"American Samoa",1,0,0,0,0,0,0,0,0
2000,"Arizona",150,99,0.66,0,0,0,0,5142271,0
2000,"California",887,722,0.81,0,0,1,0.00,33974269,0
2000,"Colorado",336,238,0.71,140,0.59,1,0.00,4739066,2470043
2000,"Connecticut",139,111,0.80,46,0.41,0,0,4283356,1610487
2000,"Canal Zone",0,0,0,0,0,0,0,0,0
2000,"District of Columbia",3,1,0.33,0,0,0,0,572059,0
2000,"Delaware",82,53,0.65,0,0,0,0,806621,0
2000,"Florida",832,518,0.62,0,0,0,0,16049613,0
2000,"Georgia",811,557,0.69,0,0,0,0,8200086,0
2000,"Guam",3,0,0,0,0,0,0,0,0
2000,"Hawaii",15,4,0.27,0,0,0,0,1314665,0
2000,"Iowa",308,246,0.80,218,0.89,0,0,3153624,2840965
2000,"Idaho",151,120,0.79,119,0.99,0,0,1335701,1282539
2000,"Illinois",1080,7,0.01,1,0.14,0,0,12649892,150115
2000,"Indiana",411,266,0.65,0,0,0,0,6096020,0
2000,"Kansas",592,409,0.69,311,0.76,0,0,3484576,2285796
2000,"Kentucky",716,23,0.03,10,0.43,0,0,4167708,157418
2000,"Louisiana",312,192,0.62,0,0,0,0,4522112,0
2000,"Massachusetts",524,348,0.66,187,0.54,0,0,6781415,3131851
2000,"Maryland",204,148,0.73,0,0,0,0,5449611,0
2000,"Maine",242,179,0.74,0,0,0,0,1314095,0
2000,"Michigan",914,672,0.74,593,0.88,0,0,10658627,8037390
2000,"Minnesota",481,314,0.65,0,0,4,0.01,4983365,0
2000,"Missouri",723,244,0.34,0,0,0,0,5666897,0
2000,"Mississippi",253,130,0.51,0,0,0,0,2844765,0
2000,"Montana",142,54,0.38,0,0,0,0,979214,0
2000,"Nebraska",340,252,0.74,11,0.04,0,0,1814703,178443
2000,"North Carolina",805,427,0.53,0,0,0,0,8084417,0
2000,"North Dakota",156,88,0.56,70,0.80,0,0,702195,504897
2000,"New Hampshire",269,115,0.43,9,0.08,0,0,1437358,108641
2000,"New Jersey",653,517,0.79,0,0,0,0,8461319,0
2000,"New Mexico",150,83,0.55,0,0,0,0,1830812,0
2000,"Nevada",76,36,0.47,0,0,0,0,2003421,0
2000,"New York",1038,634,0.61,0,0,1,0.00,20769343,0
2000,"Ohio",977,428,0.44,100,0.23,0,0,12196379,2228655
2000,"Oklahoma",493,302,0.61,0,0,0,0,3498712,0
2000,"Oregon",304,207,0.68,3,0.01,0,0,3513113,52930
2000,"Pennsylvania",1881,1006,0.53,0,0,3,0.00,12822219,0
2000,"Puerto Rico",24,0,0,0,0,0,0,0,0
2000,"Rhode Island",62,48,0.77,0,0,0,0,1054364,0
2000,"South Carolina",714,538,0.75,391,0.73,0,0,4075438,4007782
2000,"South Dakota",223,118,0.53,62,0.53,0,0,892293,286095
2000,"Tennessee",678,506,0.75,423,0.84,0,0,6975748,5684989
2000,"Texas",1260,956,0.76,55,0.06,0,0,21331542,1954831
2000,"Utah",190,120,0.63,58,0.48,0,0,2782205,1702774
2000,"US Virgin Islands",3,0,0,0,0,0,0,0,0
2000,"Virginia",534,453,0.85,384,0.85,0,0,7594667,6980761
2000,"Vermont",108,71,0.66,44,0.62,0,0,643372,515166
2000,"Washington",325,246,0.76,5,0.02,0,0,6531953,621227
2000,"Wisconsin",487,349,0.72,0,0,0,0,5499827,0
2000,"West Virginia",570,354,0.62,263,0.74,0,0,2093659,1677041
2000,"Wyoming",83,65,0.78,0,0,0,0,499238,0
2000,"Mariana Islands",1,0,0,0,0,0,0,0,0
2000,"Other",0,0,0,0,0,0,0,0,0
2001,"Alaska",51,33,0.65,0,0,0,0,634892,0
2001,"Alabama",485,266,0.55,0,0,0,0,4502059,0
2001,"Arkansas",344,199,0.58,5,0.03,0,0,3075959,381356
2001,"American Samoa",1,0,0,0,0,0,0,0,0
2001,"Arizona",151,101,0.67,1,0.01,0,0,5356370,32910
2001,"California",887,724,0.82,0,0,0,0,34608064,0
2001,"Colorado",341,229,0.67,135,0.59,0,0,4946322,2401303
2001,"Connecticut",137,109,0.80,53,0.49,0,0,4178846,1785765
2001,"Canal Zone",0,0,0,0,0,0,0,0,0
2001,"District of Columbia",3,2,0.67,1,0.50,0,0,571822,0
2001,"Delaware",90,62,0.69,54,0.87,0,0,820963,795507
2001,"Florida",832,582,0.70,0,0,0,0,16465493,0
2001,"Georgia",811,549,0.68,0,0,3,0.01,8403421,0
2001,"Guam",3,0,0,0,0,0,0,0,0
2001,"Hawaii",15,4,0.27,0,0,0,0,1328623,0
2001,"Iowa",311,251,0.81,219,0.87,0,0,3199087,2861030
2001,"Idaho",152,115,0.76,115,1.00,0,0,1363532,1305535
2001,"Illinois",1079,8,0.01,1,0.13,0,0,12709255,150877
2001,"Indiana",411,273,0.66,0,0,0,0,6130368,0
2001,"Kansas",591,451,0.76,334,0.74,0,0,3290731,2296266
2001,"Kentucky",718,26,0.04,13,0.50,2,0.08,4387084,429902
2001,"Louisiana",312,194,0.62,0,0,0,0,4518855,0
2001,"Massachusetts",519,352,0.68,204,0.58,0,0,6638271,3389451
2001,"Maryland",204,148,0.73,0,0,0,0,5530549,0
2001,"Maine",242,180,0.74,0,0,0,0,1322818,0
2001,"Michigan",911,675,0.74,608,0.90,0,0,10854317,8301563
2001,"Minnesota",481,299,0.62,0,0,0,0,5038797,0
2001,"Missouri",723,306,0.42,0,0,0,0,5701710,0
2001,"Mississippi",253,128,0.51,0,0,0,0,2858136,0
2001,"Montana",142,55,0.39,0,0,0,0,976899,0
2001,"Nebraska",348,255,0.73,26,0.10,0,0,1877174,342220
2001,"North Carolina",805,448,0.56,0,0,0,0,8221148,0
2001,"North Dakota",153,86,0.56,72,0.84,0,0,671376,509045
2001,"New Hampshire",279,127,0.46,18,0.14,0,0,1539876,209539
2001,"New Jersey",653,521,0.80,0,0,0,0,8531789,0
2001,"New Mexico",150,82,0.55,0,0,0,0,1840977,0
2001,"Nevada",76,35,0.46,0,0,0,0,2112936,0
2001,"New York",1038,670,0.65,0,0,0,0,20795253,0
2001,"Ohio",999,491,0.49,155,0.32,0,0,12696455,3198373
2001,"Oklahoma",493,299,0.61,0,0,0,0,3512705,0
2001,"Oregon",306,209,0.68,5,0.02,0,0,3677796,165591
2001,"Pennsylvania",1880,852,0.45,0,0,0,0,12815044,0
2001,"Puerto Rico",24,0,0,0,0,0,0,0,0
2001,"Rhode Island",56,48,0.86,0,0,0,0,1065026,0
2001,"South Carolina",672,420,0.63,318,0.76,0,0,4208820,4055834
2001,"South Dakota",227,124,0.55,68,0.55,0,0,879622,292455
2001,"Tennessee",611,481,0.79,459,0.95,0,0,5776399,5735728
2001,"Texas",1266,962,0.76,60,0.06,1,0.00,22077389,2418623
2001,"Utah",192,123,0.64,59,0.48,0,0,2828786,1734179
2001,"US Virgin Islands",3,0,0,0,0,0,0,0,0
2001,"Virginia",538,468,0.87,396,0.85,0,0,7487243,7147779
2001,"Vermont",107,72,0.67,58,0.81,0,0,626916,562536
2001,"Washington",324,246,0.76,4,0.02,0,0,6559514,554672
2001,"Wisconsin",487,358,0.74,1,0.00,0,0,5539023,66807
2001,"West Virginia",533,354,0.66,298,0.84,0,0,1991395,1734491
2001,"Wyoming",83,65,0.78,0,0,0,0,499886,0
2001,"Mariana Islands",1,0,0,0,0,0,0,0,0
2001,"Other",0,0,0,0,0,0,0,0,0
2002,"Alaska",51,33,0.65,0,0,0,0,643893,0
2002,"Alabama",485,269,0.55,0,0,0,0,4516995,0
2002,"Arkansas",350,212,0.61,11,0.05,0,0,3211957,503181
2002,"American Samoa",1,0,0,0,0,0,0,0,0
2002,"Arizona",151,97,0.64,1,0.01,0,0,5502666,33834
