year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1977-01-01,AR,365149,12774,1829272,1138192,1069003,35169,131866,196432,214668,188744,163808,143748,116867,106603,107598,181897,110814,109427,107546,102678,79943,53328,32732,23327
1977-01-01,AZ,68074,155160,2204062,1230624,1196672,41603,150034,217806,237374,234742,204669,171681,133422,118387,116768,200141,118762,114297,107824,99505,73530,45313,25705,15733
1977-01-01,CA,1693193,1234200,19422939,11335130,11015202,330744,1204893,1887834,2112596,2183031,2035965,1744833,1337083,1179741,1178714,1699024,1207479,1102839,920986,775940,583299,410341,263745,191245
1977-01-01,CO,90893,44180,2561106,1356122,1340057,43065,154887,235509,266152,283894,269088,225493,163748,139686,134270,213888,129293,114211,94276,78428,59262,41540,28123,21366
1977-01-01,CT,207776,20993,2859976,1596228,1492517,38159,148117,279294,295197,262114,242703,223728,180481,162281,173558,235729,185038,174674,147827,117854,86902,60695,43542,30852
1977-01-01,DC,480798,8262,192706,365875,315891,8013,30109,50685,63063,73755,70764,54453,39722,35211,34051,44819,36868,34986,31413,26739,19439,13371,8313,5992
1977-01-01,DE,92324,4816,497675,307089,287726,8645,32520,54860,62069,56973,48523,42786,33784,31586,32457,47919,33257,30343,24946,19596,13782,9762,6383,4624
1977-01-01,FL,1243340,60301,7585165,4611713,4277093,113886,423027,693059,779050,744178,657390,566427,463790,435624,453389,610417,482412,484429,499141,520743,425540,280968,160531,94805
1977-01-01,GA,1365735,24950,3820621,2689038,2522268,84512,317447,485415,524832,496896,448026,391942,307406,271362,264302,450763,256845,234419,205205,177090,127145,83473,49413,34813
1977-01-01,HI,14503,628726,272524,444360,471393,15041,57578,79863,86449,101835,87384,73015,55205,46485,47188,74718,48064,42412,34427,25507,17736,11719,6246,4881
1977-01-01,IA,39075,15946,2859383,1496374,1418030,44551,165236,260291,290880,263861,229511,190329,149073,139215,145306,231241,152343,145286,131787,115222,94699,72843,52061,40669
1977-01-01,ID,2609,14982,865948,441904,441635,17489,63808,81434,88988,81161,74143,62826,48912,42685,40709,79796,41000,39812,36075,30399,22168,14922,9723,7489
1977-01-01,IL,1606451,149676,9650204,5874465,5531866,173177,645805,1019246,1113042,1030736,941841,809390,639298,584829,601054,916712,629407,585790,506731,416468,317849,223450,148788,102718
1977-01-01,IN,395739,25404,4984008,2775592,2629559,84965,322571,494895,543262,499155,439131,376756,298318,272374,281244,454936,289839,264807,225997,189364,145830,104301,67947,49459
1977-01-01,KS,119013,27071,2172063,1182018,1136129,35764,129993,194603,226514,225339,187031,154689,121074,112166,117832,176369,122614,115694,103899,92638,76355,56054,39289,30230
1977-01-01,KY,251337,11917,3311967,1825800,1749421,56241,214720,322790,363117,336814,289734,248531,194653,177729,179930,298215,182834,169592,151211,134158,104672,73004,45530,31746
1977-01-01,LA,1176515,27831,2811077,2066161,1949262,69839,258161,391221,425769,393380,331247,271596,213789,195217,196901,357036,197402,178442,156256,138032,103822,69788,39928,27597
1977-01-01,MA,224414,51213,5468490,3006646,2737471,71394,276244,506429,562540,536043,472803,407815,309572,279782,300212,429242,321495,306396,269219,227330,179242,131209,91018,66132
1977-01-01,MD,892138,59918,3242573,2158205,2036424,56561,217178,392430,415366,382438,363020,325871,260708,230288,231349,332304,236782,211850,171984,132904,98098,65864,41297,28337
1977-01-01,ME,3208,6280,1095869,567464,537893,16166,61880,101140,109944,97298,86222,76868,59463,54462,57091,90319,58004,54494,49332,43466,35253,24930,16874,12151
1977-01-01,MI,1128479,82238,7946640,4682669,4474688,141124,536771,869159,941516,855946,760565,646440,503005,455793,479165,783203,498563,452767,377302,297300,226296,156622,103950,71870
1977-01-01,MN,47436,55685,3876816,2027273,1952664,61104,226407,368694,408597,370909,335924,281569,216534,192663,192844,320736,196385,184718,165708,143247,117119,87837,62340,46602
1977-01-01,MO,493551,30675,4321057,2511730,2333553,71743,266660,421058,474543,426152,375864,325110,261802,242209,251520,373603,259953,245249,224238,205917,167813,118493,77552,55804
1977-01-01,MS,868146,11827,1579634,1272173,1187434,43790,163755,240688,264265,229199,181662,153147,124265,115708,116108,224538,116649,109494,103173,98294,74781,49812,29233,21046
1977-01-01,MT,1959,37291,732178,385815,385613,12810,47047,70197,78265,71733,65456,55276,42751,38518,37911,63092,38630,36965,33535,27819,20104,13417,9601,8301
1977-01-01,NC,1255794,77438,4335131,2912897,2755466,83268,318945,505765,571662,561978,469251,408718,324699,298149,300364,462913,301299,276125,240688,206146,146497,96809,56439,38648
1977-01-01,ND,2625,20603,626066,322116,327178,10831,39648,58636,68061,67585,52863,41526,31712,29443,30438,52314,31288,29895,28361,25643,20034,14172,9504,7340
1977-01-01,NE,46091,14863,1493805,795158,759601,24770,91410,135784,152564,145726,125572,104136,80801,74087,77298,124143,78644,73053,67092,61325,50624,38829,27639,21262
1977-01-01,NH,3615,3750,864508,445984,425889,12493,48028,79181,85683,78446,72772,67219,50577,43463,44173,70559,45131,41800,36982,32440,25209,17836,11560,8321
1977-01-01,NJ,888098,88425,6365500,3811178,3530845,94817,370852,661179,689023,591785,558824,521654,431859,399337,425509,566142,450566,417486,353905,288859,212998,146914,96819,63495
1977-01-01,NM,22998,102294,1100018,620760,604550,22813,81487,121401,131563,117420,103396,87226,68706,62223,60510,110455,58286,52855,45079,38821,27542,17635,10492,7400
1977-01-01,NV,42605,21905,613644,334118,344036,10446,37093,57972,61238,64113,62387,55613,45040,39639,38065,52005,37569,34987,29237,22431,14299,8559,4513,2948
1977-01-01,NY,2384154,307043,15160364,9349900,8501661,236688,911083,1551798,1665650,1511319,1422159,1273091,1021869,948761,994766,1345562,1047383,970709,849544,721910,554843,393816,258636,171974
1977-01-01,OH,1036845,53575,9680942,5558834,5212528,162962,616287,974419,1065413,974692,870211,748232,588620,551371,581349,884722,611285,559943,470432,379669,292043,204161,138083,97468
1977-01-01,OK,193310,160898,2511657,1466465,1399400,45133,166017,241533,276624,266803,229035,194689,156663,144557,147091,224726,149241,139508,127223,120409,96870,66653,42411,30679
1977-01-01,OR,33563,54858,2351056,1238230,1201247,36878,135870,206812,225246,218771,221751,191043,141510,120140,119597,187288,124737,121544,110604,96598,72036,50659,33285,25108
1977-01-01,PA,1028698,63812,10789449,6182177,5699782,153831,595488,1020823,1136243,1031924,906305,776170,620653,597127,666388,890542,730271,699430,614388,510304,382693,262282,171821,115276
1977-01-01,RI,29423,8388,917322,499016,456117,12118,46484,81586,93031,88985,74329,63903,48994,45058,50670,70798,56578,54636,48348,40499,31497,22100,15174,10345
1977-01-01,SC,901786,14175,2072947,1530021,1458887,48201,182823,279015,318894,306490,250977,213751,166391,149463,149246,258190,149009,138929,119886,101667,69464,43947,25350,17215
1977-01-01,SD,2032,43463,643609,348570,340534,11778,42496,62264,72698,65284,51784,42011,32698,31408,33648,56048,34884,33459,30703,27113,22235,17145,12102,9346
1977-01-01,TN,686830,16131,3699030,2274077,2127914,65319,247552,387540,431310,402765,358723,316680,252262,230918,232590,355476,233543,216473,192768,172809,129479,87147,52453,36184
1977-01-01,TX,1585337,128866,11477811,6707524,6484490,227342,826025,1198358,1314075,1305589,1148759,956160,743761,665472,667404,1136202,654752,582281,503307,449813,341510,232270,140875,98059
1977-01-01,UT,8532,31887,1276024,663541,652902,34195,120576,123625,137118,141653,116612,88779,65787,57465,55262,132118,54003,48635,41872,35148,26654,17989,11308,7644
1977-01-01,VA,973705,59612,4172188,2650578,2554927,74122,280115,461446,513544,521292,454658,402057,320934,282373,277875,411358,279270,252487,210419,171330,121964,83547,51216,35498
1977-01-01,VT,1061,1952,489167,251997,240183,7302,27707,45072,50952,46073,41303,36987,27472,23611,23842,40142,24022,22478,20193,17989,14370,10347,6935,5383
1977-01-01,WA,92799,137212,3542410,1898932,1873489,56452,205732,326498,359752,355410,336846,295081,222675,191145,189750,294259,196386,186786,163210,137159,101544,69905,47274,36557
1977-01-01,WI,165866,44602,4402871,2350806,2262533,68817,259899,430654,475161,428355,372972,312301,242831,222559,229818,374075,236739,223056,202246,175519,139703,100902,68478,49254
1977-01-01,WV,65682,5938,1834076,981348,924348,28748,111239,165241,181871,168482,148378,126716,98905,93951,100697,155036,107653,102105,91665,79475,60564,41415,25652,17903
1977-01-01,WY,3146,7908,400552,201565,210041,7927,27781,36036,40062,42804,40017,31084,23462,20531,20001,35364,19719,17270,14615,12391,8939,6350,4182,3071
1978-01-01,AK,13180,71427,317444,189042,213009,8374,29684,37137,38386,45751,47690,39895,30030,22330,18715,37441,15998,12331,7905,4649,2739,1620,761,615
1978-01-01,AL,975066,15431,2843474,1990864,1843107,60088,228960,340964,385312,354809,301107,262620,216818,195399,195526,321629,197553,185699,167783,151903,116011,76342,43609,31839
1978-01-01,AR,368199,14191,1858566,1156582,1084374,35626,133809,191806,216078,191884,167421,149238,124721,109142,107900,182768,111049,111200,108811,103850,82749,55536,32983,24385
1978-01-01,AZ,69863,162093,2285895,1277136,1240715,42932,154039,215587,241959,244802,213848,182229,144845,123160,118984,203727,120916,119869,112832,105250,79232,49005,27416,17219
1978-01-01,CA,1738004,1328236,19772798,11583678,11255360,343554,1244826,1844436,2128775,2256143,2101124,1828179,1432129,1206612,1175546,1690576,1205307,1139686,947515,796481,603431,423731,269069,201918
1978-01-01,CO,94695,47199,2624949,1391846,1374997,44321,158960,230614,267973,292611,280333,239072,176832,144301,135602,214563,130744,118161,97034,80410,61540,42616,28620,22536
1978-01-01,CT,210759,22579,2861531,1600518,1494351,38087,146795,269210,293858,267295,244312,228722,191549,162686,169201,225810,182337,175966,150908,120028,89585,62238,43587,32695
1978-01-01,DC,472307,8347,189391,359832,310213,7712,28926,47705,61844,72979,69452,54877,40753,34384,33131,42358,35639,35040,31047,26678,19600,13474,8269,6177
1978-01-01,DE,93910,5165,499108,309017,289166,8703,32491,52738,61747,57980,49088,43721,35677,31581,32191,46323,33160,31112,25813,20056,14351,10130,6506,4815
1978-01-01,FL,1262148,66142,7803120,4741686,4389724,114658,425146,679409,786701,766256,678591,594405,497171,447302,455863,611562,490727,504606,517099,542448,448382,299012,169138,102934
1978-01-01,GA,1393245,27883,3864560,2729359,2556329,84638,317770,475429,527812,503945,457186,407662,327053,276438,264795,450266,257607,238227,208449,182031,132352,86622,50990,36416
1978-01-01,HI,15414,640523,272867,450678,478126,15433,57869,77163,86414,103655,89639,75929,58314,46356,46506,74031,47989,44065,35535,26900,18661,12513,6760,5072
1978-01-01,IA,40005,17374,2861668,1499212,1419835,45560,167868,248799,287624,268387,234101,195181,155927,139996,142040,225368,150586,145739,132464,115961,95430,73477,52214,42325
1978-01-01,ID,2718,15815,892509,455768,455274,18458,67459,80711,89507,83905,77393,66559,53196,44333,41092,81903,41149,40547,37048,31297,23427,15375,9799,7884
1978-01-01,IL,1630846,162738,9640936,5891917,5542603,175376,649188,980053,1101354,1050486,957008,827192,671104,587820,588405,899209,622128,590421,509630,419519,322270,227834,148608,106915
1978-01-01,IN,402176,27593,5016715,2798563,2647921,85757,324597,478636,541536,509350,447277,387737,315372,275667,276894,450275,288586,270228,229316,190636,148775,106166,68496,51183
1978-01-01,KS,120921,29185,2183035,1190781,1142360,36806,133456,186381,223936,228248,191900,159841,127754,112613,115859,174505,121365,117091,104535,93230,77770,56892,39542,31417
1978-01-01,KY,253380,12858,3345339,1845766,1765811,56954,217314,313914,361462,341373,296304,257481,206261,180871,178437,297143,182471,173195,152525,135662,106481,75062,45909,32758
1978-01-01,LA,1191515,30786,2850842,2095836,1977307,71909,264136,380568,426969,404594,342633,282858,226226,197721,195331,353479,197966,181895,157846,140269,107125,71924,40932,28762
1978-01-01,MA,225727,54069,5463157,3007013,2735940,70809,271553,487583,559305,543393,476838,419256,328305,278980,292597,411626,316820,308139,272178,228722,182587,133516,91690,69056
1978-01-01,MD,915222,65528,3230869,2168869,2042750,56691,215381,378287,414493,388357,365606,334231,275168,232111,227857,320309,234224,216530,175627,135404,101028,67855,42566,29894
1978-01-01,ME,3185,6667,1105609,573032,542429,16231,61868,98340,109732,98339,88394,80183,63273,54983,56411,88783,58040,55397,50012,43875,35969,25524,17247,12860
1978-01-01,MI,1148559,88938,7964532,4709828,4492201,141387,535836,840835,931512,873604,775386,664636,532148,458267,468124,767393,495034,460195,383654,302824,230810,160743,104097,75544
1978-01-01,MN,49151,59448,3896139,2040739,1963999,62535,229739,352724,405984,379762,343692,290300,229797,195318,190210,312470,195003,185792,166889,144681,118770,89482,62487,49103
1978-01-01,MO,497330,33088,4340936,2526585,2344769,72748,269412,404714,471309,434505,382896,333556,276086,244026,248740,368938,258070,248827,224597,205546,170274,121410,77922,57778
1978-01-01,MS,874211,12492,1601137,1288348,1199492,44001,165026,234681,264410,232503,187194,159138,130804,118011,115831,224215,117484,111073,103707,99485,76797,51790,29893,21797
1978-01-01,MT,1921,38612,743575,392284,391824,13289,48513,67698,77967,73481,68124,57741,45762,39526,37756,62990,38655,37204,34328,28371,20717,13988,9413,8585
1978-01-01,NC,1272212,80754,4386255,2950478,2788743,82606,317180,493755,571599,570136,479156,423733,343789,302603,299317,459133,302226,283088,245733,212132,153064,100681,58456,40834
1978-01-01,ND,2640,21342,626820,322972,327830,11131,40549,55497,66914,68647,54732,42755,33064,29365,29783,51327,31053,29619,28199,25810,20511,14505,9646,7695
1978-01-01,NE,46993,15753,1498388,798793,762341,25269,92791,129699,151233,147424,128587,107311,84792,74446,76093,122608,78152,73746,67198,61461,51274,39247,27626,22177
1978-01-01,NH,3780,4098,886103,457601,436380,12728,48536,78223,87259,81136,75347,71094,55096,44862,44456,70340,45715,43076,38147,33010,26052,18260,11852,8792
1978-01-01,NJ,901199,97825,6357401,3822810,3533615,94653,367893,638104,685631,602592,562952,533502,454897,398863,415020,548366,445101,422611,359417,292636,219010,150270,98108,66799
1978-01-01,NM,23448,105923,1122527,634453,617445,23630,83660,117890,132136,120616,107165,91574,72966,63588,60939,110592,58984,54773,46309,40393,29163,18653,10972,7895
1978-01-01,NV,45061,24096,650234,355011,364380,11068,38955,58697,64564,68959,66774,59821,49693,42373,39644,53363,39249,37383,31388,24451,15666,9306,4842,3195
1978-01-01,NY,2400563,325633,14994307,9290247,8430256,234791,900132,1488528,1645241,1517594,1417115,1289819,1063093,940074,964616,1291552,1028744,972935,845622,718784,560984,400400,260568,179911
1978-01-01,OH,1047205,57790,9690549,5574082,5221462,163374,615536,938356,1051461,993054,882220,768544,616137,553588,567216,867174,604371,568709,477632,383901,297709,207465,138009,101088
1978-01-01,OK,196357,169842,2546764,1491662,1421301,46423,170631,235381,277427,272200,235566,202429,167115,147222,147148,226889,149142,142804,127954,121114,99422,68995,43190,31911
1978-01-01,OR,34427,58855,2416376,1273731,1235927,38685,142209,204144,226343,226364,232332,203024,154173,124590,119592,189108,124834,124560,113146,99323,74613,52444,33881,26293
1978-01-01,PA,1032713,69165,10762962,6176907,5687933,153574,590354,981638,1119561,1045605,916356,795869,650488,593059,642271,862728,718132,703485,620775,516331,392586,267906,173496,120626
1978-01-01,RI,30048,8904,918295,500682,456565,12049,45944,78888,92681,90131,75198,66043,51973,45016,48810,68119,55750,55378,49062,40991,32222,22630,15410,10952
1978-01-01,SC,916757,15571,2108687,1558958,1482057,48428,183865,273228,319555,310888,258630,223066,177765,152404,150153,258264,149316,143296,123443,105335,72881,46121,26191,18186
1978-01-01,SD,2139,44776,642453,348825,340543,12113,43295,58991,71388,66063,53465,43185,34097,31241,32811,55112,34442,33436,30761,27218,22451,17305,12229,9765
1978-01-01,TN,696257,17560,3747873,2305946,2155744,65732,249074,377979,431630,410787,367148,328002,267710,235247,231899,354373,233451,221037,194916,176311,134226,90499,53806,37863
1978-01-01,TX,1615490,142103,11740309,6862318,6635584,233553,848013,1177484,1326705,1348777,1192704,1003454,797293,679875,668969,1147607,660589,600590,510117,458012,354119,242039,144769,103233
1978-01-01,UT,8765,33999,1321515,687737,676542,36547,129274,123210,137843,146767,122435,94006,71345,59355,55747,137514,54609,49933,43304,36145,27800,18710,11593,8142
1978-01-01,VA,988770,66397,4228721,2690028,2593860,74586,281300,449954,515432,531550,464199,418561,342881,288203,277464,406645,279060,259538,215595,175674,126826,86369,52544,37507
1978-01-01,VT,1109,2127,495070,255304,243002,7341,27787,43846,51083,47038,42371,38634,29610,24035,23726,39433,24084,22814,20466,18122,14679,10635,7055,5547
1978-01-01,WA,96714,147966,3641570,1956534,1929716,59414,215685,321552,362834,371395,353141,313019,242921,197884,190384,295159,196637,192039,168099,141781,105459,72204,48160,38483
1978-01-01,WI,169564,47078,4414356,2361030,2269968,70012,261644,412113,474545,438321,380412,321674,255457,223707,225123,363249,234546,223844,202646,177332,142373,103209,69207,51584
1978-01-01,WV,65333,6391,1848704,989201,931227,29000,112242,161299,179570,170559,152345,132368,104232,94930,97925,154932,106732,103152,91944,80687,61782,42367,25917,18445
1978-01-01,WY,3230,8406,419317,210672,220281,8578,30002,36060,40981,45710,43104,33771,25852,21502,20195,36842,20109,17784,14887,12554,9210,6419,4176,3217
1979-01-01,AK,13405,71984,317978,189546,213821,8563,30090,35498,37922,45628,48336,41336,30962,22647,18641,36176,15918,12537,8036,4979,2952,1782,750,614
1979-01-01,AL,981891,16821,2870628,2009957,1859383,61359,231392,332370,381921,358628,308627,274060,224210,198715,193994,317323,196989,188517,168843,155105,120128,79925,44229,33005
1979-01-01,AR,369823,15663,1883587,1171950,1097123,36594,136264,187644,215883,193252,171149,155978,130260,112037,107847,181554,110594,112734,109890,105372,84976,58748,32835,25462
1979-01-01,AZ,72420,170703,2395449,1339131,1299441,45440,161577,217514,249131,256495,226799,197196,155865,130421,122920,208533,124305,127349,119657,111161,83903,52867,28663,18776
1979-01-01,CA,1772598,1421778,20060802,11793342,11461836,360204,1290733,1804059,2131538,2311031,2167040,1924741,1499313,1235711,1167390,1663012,1194032,1172535,970936,821619,618240,440138,271581,211325
1979-01-01,CO,98561,50215,2700522,1434239,1415059,46464,165362,228185,270567,299811,294070,256208,187722,150406,137678,214865,132362,122991,100599,82366,63152,43989,28821,23680
1979-01-01,CT,214637,24228,2861066,1604395,1495536,38490,146353,260407,291585,270489,246608,235938,199221,163897,164856,214086,178855,177298,153996,124086,91403,64517,43224,34622
1979-01-01,DC,461821,8393,185406,352320,303300,7591,27822,44686,60020,71629,67866,55690,41262,33600,31816,39260,34323,34899,30504,26676,19778,13543,8300,6355
1979-01-01,DE,95236,5515,498072,309745,289078,8859,32515,50604,61034,58368,49547,44883,36774,31552,31719,44126,32759,31728,26560,20702,15000,10397,6576,5120
1979-01-01,FL,1296529,73116,8100837,4920143,4550339,118753,435733,677727,802297,794211,710681,636218,529303,467541,464121,615234,503757,531970,542758,566608,468432,318043,175461,111634
1979-01-01,GA,1432221,30915,3927717,2784761,2606092,86883,322259,470673,531652,511940,470191,430461,344211,285123,266762,448564,259426,243842,213308,186685,138351,90859,51556,38107
1979-01-01,HI,16542,657782,275718,462068,487974,16232,59517,75762,86867,105174,92653,80349,61364,46913,46033,73542,48552,46203,37028,28326,19545,13426,7189,5367
1979-01-01,IA,40670,18734,2857420,1498296,1418528,46990,171331,238073,282888,270761,239249,201577,159608,141135,138466,217328,147669,145812,132835,116631,95931,74388,52302,43850
1979-01-01,ID,2729,16450,913546,466817,465908,19528,71115,79763,89025,85626,80555,70505,56113,45903,41174,82736,40800,40989,37793,32371,24322,16204,10036,8167
1979-01-01,IL,1648648,175543,9598699,5886918,5535972,179421,654250,941178,1084499,1063645,971279,849901,688675,591025,572338,870337,609344,592116,510110,427096,324707,233720,147562,111687
1979-01-01,IN,407805,29773,5037398,2814816,2660160,87425,327976,463349,537121,515851,455930,401582,325954,279535,271578,440780,285127,274818,231971,194355,150791,108740,68978,53115
1979-01-01,KS,123275,31320,2193110,1197961,1149744,38287,137691,179025,220774,230951,197531,166465,132146,113657,113889,171103,119528,118503,105217,93604,78584,58581,39538,32631
1979-01-01,KY,256004,13887,3374029,1862529,1781391,58309,221000,305879,359093,345144,303794,268581,213832,184582,176495,293068,180785,176295,153364,137736,108316,77447,46150,34050
1979-01-01,LA,1209453,33891,2895784,2130616,2008512,75661,273093,373154,427256,413525,355757,298030,236036,201965,194072,348103,198629,185933,159903,142482,109663,74902,41422,29542
1979-01-01,MA,232433,57536,5456243,3009493,2736719,71161,268953,471256,554960,549393,483989,435509,341378,279644,285054,391169,310769,310114,275489,232547,184837,136227,91799,71964
1979-01-01,MD,939879,71091,3212396,2176578,2046788,57737,214844,365384,411546,392140,368912,345772,285113,234794,223710,305282,230551,220913,179125,139342,103274,70281,43137,31509
1979-01-01,ME,3110,7026,1114803,578465,546474,16484,62258,96001,109199,98636,90870,84258,65888,55770,55712,86564,57747,56279,50672,44447,36757,26346,17409,13642
1979-01-01,MI,1169630,96342,7982921,4736378,4512515,143727,538707,816493,919006,888125,793287,690016,552564,463092,456584,745399,489292,467502,390002,311797,233925,166160,103930,79285
1979-01-01,MN,50878,63463,3923876,2057958,1980259,64906,235416,339594,403067,387229,353830,302792,239549,199534,188179,302767,193145,187368,168579,146697,119700,91452,63127,51286
1979-01-01,MO,502553,35501,4351362,2536627,2352789,74632,273505,389401,466246,440482,390582,344709,285169,246577,245236,360517,254525,251852,224489,207132,171491,125340,77896,59635
1979-01-01,MS,877892,13217,1616634,1299935,1207808,45073,167041,229121,262459,233555,192360,166272,135023,120599,114956,221254,117689,112301,103933,100032,79324,53983,29940,22828
1979-01-01,MT,1870,39321,748064,395028,394227,13778,49867,64803,76605,74156,70356,60213,47480,40305,37153,61772,38037,37042,34720,29090,21345,14539,9295,8699
1979-01-01,NC,1287578,84084,4429834,2985119,2816377,83129,317152,483677,568091,572950,489658,442830,357163,308386,297653,450991,301959,289848,250620,218710,159937,105764,59622,43356
1979-01-01,ND,2605,21797,627915,323966,328351,11593,41894,52750,65480,69074,56834,44480,33862,29467,29160,50060,30680,29402,28067,25914,20821,15019,9726,8034
1979-01-01,NE,47599,16434,1500637,800952,763718,26081,94645,124015,149278,148187,131877,111294,87019,74997,74745,119906,77118,74361,67205,61341,52100,39677,27647,23177
1979-01-01,NH,3913,4425,903562,467165,444735,13043,49148,77262,88256,83048,77881,75297,58341,46252,44515,69231,45814,44121,39099,33714,26691,18844,12033,9310
1979-01-01,NJ,916096,107896,6349073,3832972,3540093,95901,367464,618082,681024,612212,569445,551199,470694,400468,404247,526217,437721,427686,364846,299024,223495,154896,98115,70329
1979-01-01,NM,23812,110702,1146080,649201,631393,24789,86638,115211,132568,123323,111619,97083,76181,65430,61493,110035,59557,56820,47650,41999,30592,19985,11184,8437
1979-01-01,NV,48110,26607,690477,377936,387258,11959,41414,60125,68071,73926,71886,65115,53997,45694,41489,54652,41024,40051,33749,26401,16972,10198,5040,3431
1979-01-01,NY,2432070,346848,14854841,9251805,8381954,237094,898256,1436587,1624714,1521316,1421618,1324193,1089988,938738,936116,1231185,1008637,977415,843776,722190,564623,409145,260081,188087
1979-01-01,OH,1057305,62095,9679277,5577980,5220697,165685,617597,904726,1031354,1003367,895752,795171,631460,557254,551431,840855,593472,576099,483730,392985,302078,212941,137213,105507
1979-01-01,OK,198713,179624,2591732,1520073,1449996,48474,176828,231023,278505,278918,244181,213262,175687,151324,147695,227736,148955,146579,129128,122510,100860,72164,43113,33127
1979-01-01,OR,35541,63042,2479784,1308469,1269898,40957,149487,202112,226722,233060,243894,216926,163960,129528,119405,189139,124142,127421,115558,102702,77212,54211,34257,27674
1979-01-01,PA,1040498,75038,10758127,6183585,5690078,155737,590739,949757,1102531,1056842,932351,825874,670607,593331,619297,830412,704244,708809,628218,527975,400449,276675,173496,126319
1979-01-01,RI,30742,9435,916474,500257,456394,12083,45489,76254,91895,91152,76184,68635,53828,45018,46747,64639,54416,55882,49551,41828,32627,23471,15390,11562
1979-01-01,SC,930660,17010,2139170,1582950,1503890,49418,185730,267892,319335,314177,266314,234213,186101,155706,150344,255300,148764,147205,126614,108357,76758,48875,26526,19211
1979-01-01,SD,2175,46033,640898,348982,340124,12623,44450,56052,69885,66242,55282,44671,34779,31213,31977,53785,33780,33406,30811,27452,22606,17655,12242,10195
1979-01-01,TN,709720,19199,3804427,2344035,2189311,67443,253389,371627,431663,417800,378270,343909,279587,241609,231818,351677,233253,226301,197643,179016,139402,94404,54556,39979
1979-01-01,TX,1655089,157039,12075422,7059810,6827740,245007,883098,1171137,1343750,1388401,1249888,1068904,844085,703233,675310,1158009,668705,623596,521190,470395,363836,253610,147459,107937
1979-01-01,UT,8953,36291,1370898,713826,702316,39481,139500,123701,138567,151709,129152,100400,75825,61703,56357,142143,55046,51343,44850,37432,28782,19634,11916,8601
1979-01-01,VA,998045,73212,4253081,2713530,2610808,75903,282613,437637,511366,532511,471773,436184,356908,293465,274777,395908,276038,264901,219362,180364,131894,89664,53347,39723
1979-01-01,VT,1130,2343,502257,259221,246509,7509,28146,42968,51270,47942,43742,40771,31292,24639,23684,38545,24073,23200,20775,18385,14951,10959,7026,5853
1979-01-01,WA,100594,159858,3752457,2020248,1992661,63368,228224,319280,366167,386555,372175,335401,259985,206427,191613,294730,196604,198016,173629,147397,109095,75373,48626,40244
1979-01-01,WI,176085,49706,4440174,2379486,2286479,72511,266886,397865,471961,445927,391428,335922,264685,227153,221732,351733,232633,226120,204434,181721,143695,105667,69809,54083
1979-01-01,WV,65010,6838,1867264,998717,940395,29646,114302,158569,177354,172263,157312,139619,107897,96668,95449,153962,105515,104408,92401,81873,63210,43359,26229,19076
1979-01-01,WY,3332,8897,439665,220653,231241,9380,32582,36401,41946,48450,46444,36884,27887,22669,20460,38137,20480,18392,15266,12871,9564,6546,4156,3379
1980-01-01,AK,13960,72666,318054,190188,214492,8860,30614,34421,37414,44311,49092,43075,31736,23034,18511,34913,15985,12738,8257,5282,3157,1871,786,623
1980-01-01,AL,995823,18488,2885360,2025456,1874215,62976,233925,327561,376111,362451,317550,285137,230097,201209,191520,311893,196861,190297,169716,156255,122729,83516,45408,34459
1980-01-01,AR,373988,17049,1897772,1183008,1105801,37602,138081,185227,213687,194315,175139,161981,134217,114329,107192,179376,110158,113430,110445,106118,86504,60844,33559,26605
1980-01-01,AZ,77259,183045,2475536,1388978,1346862,47923,167629,219860,251492,265663,239607,210968,164662,136393,125325,209692,127381,132536,125318,115893,88384,56456,30349,20309
1980-01-01,CA,1853934,1583804,20355102,12059240,11733600,382814,1345020,1798509,2125860,2365036,2263477,2036451,1570529,1271096,1160659,1645267,1195102,1200905,1000654,843217,636754,451320,279279,220891
1980-01-01,CO,104330,54814,2750401,1465097,1444448,48610,170646,227580,267475,302936,305335,271804,196332,154886,138178,212532,133872,126206,103874,84621,65038,45361,29576,24683
1980-01-01,CT,222256,26425,2865540,1612742,1501479,39388,146497,254713,289092,273222,251550,243392,206559,165816,160454,203371,176961,178299,157318,127189,94086,66607,43456,36251
1980-01-01,DC,449388,8361,179412,342289,294872,7558,27084,41804,56654,69983,66718,56656,41581,32837,29923,35915,32793,33900,29495,26226,19861,13462,8245,6466
1980-01-01,DE,96444,5851,492641,308024,286912,9005,32395,48499,59333,58579,49929,45710,37288,31282,30686,41619,32175,31789,27012,21355,15542,10559,6831,5348
1980-01-01,FL,1359265,82715,8399179,5118558,4722601,125592,453485,688825,814767,820015,754329,684051,563191,490507,473185,620028,520646,557873,570096,581941,484746,333616,184405,119861
1980-01-01,GA,1472001,34756,3977670,2833677,2650750,89819,327707,469947,530479,517914,485190,453531,359663,293299,267067,443897,261493,247302,216957,189183,143210,94702,53132,39935
1980-01-01,HI,18252,666216,277057,468653,492872,17207,60531,74321,85712,104169,95398,84587,64379,47570,44635,72099,48783,47293,38022,29353,20397,13780,7638,5651
