year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1969-01-01,OK,168820,97611,2257340,1295021,1228750,40872,151607,250977,237518,196011,159749,136346,138327,145028,147264,242794,132548,131379,122071,101003,77475,56165,34231,22406
1969-01-01,OR,25471,27563,2003345,1051047,1005332,33683,127911,209145,200817,151702,133982,110569,106092,118537,124955,198195,117901,109904,92657,73218,59599,43708,27214,16590
1969-01-01,PA,1013664,26350,10710355,6108960,5641409,184048,748712,1168193,1063396,803597,699315,601402,634105,759525,784910,1114557,735068,653749,553202,431595,350027,244031,139780,81157
1969-01-01,RI,24597,5285,911240,478804,462318,15362,61402,87452,84292,84876,58584,46150,47812,57573,60148,88119,54996,49740,42583,34704,28784,20030,11658,6857
1969-01-01,SC,777814,5009,1764885,1295571,1252137,47998,184798,279973,277725,224635,171508,140503,140953,144524,145967,273818,128380,111761,92820,71170,49409,32468,18161,11137
1969-01-01,SD,1618,31790,629673,334258,328823,10986,42676,74951,69629,45460,34648,31211,33368,36457,36520,71113,35153,32377,29159,25088,21715,16360,10226,5984
1969-01-01,TN,614392,6418,3254062,2001819,1873053,66281,255312,392097,373135,303405,260459,222707,217407,229627,228719,384167,206942,192972,170712,134957,100629,69077,40679,25588
1969-01-01,TX,1387407,45429,9577711,5627648,5382899,208496,776223,1169000,1070013,895542,744758,627581,626846,652496,627833,1167369,540730,507072,441374,350821,258099,176877,104131,65286
1969-01-01,UT,6395,17770,1010285,524347,510103,23589,82588,122482,114344,90346,69570,56053,53197,53922,52267,118239,47829,40593,34460,26099,20843,14308,8549,5172
1969-01-01,VA,851330,19240,3719176,2320776,2268970,79707,310575,468587,432903,422525,329580,271520,266788,281797,283559,466124,244072,207637,169272,130679,97643,65108,38061,23609
1969-01-01,VT,709,683,437556,224623,214325,8050,31580,45014,43602,33741,28253,22827,22571,24100,23751,47155,22326,20464,18930,15462,12633,9096,5557,3836
1969-01-01,WA,69810,75861,3247234,1706015,1686890,59203,222682,348443,328623,286318,236485,188241,180657,195021,206537,338295,187909,165948,136146,103255,83249,62117,39328,24448
1969-01-01,WI,124130,26168,4242606,2239272,2153632,75635,308542,471778,427857,316581,268486,229977,227025,247518,244809,476863,231076,215654,187050,153773,128192,93529,55254,33305
1969-01-01,WV,67715,2533,1658163,892204,836207,27714,108347,176627,171345,119982,95430,88653,89912,107344,109166,161808,101550,96108,84141,66523,52680,35940,21489,13652
1969-01-01,WY,2526,6246,319037,163899,163910,5944,21722,36547,32777,22376,20422,18090,18443,20083,19411,34684,17843,16273,13533,9929,8181,6079,3547,1925
1970-01-01,AK,9209,54448,241671,138616,166712,7085,25224,34529,27512,37271,27642,22999,20687,17595,15228,36768,11925,8650,5376,3153,1584,928,582,590
1970-01-01,AL,904428,5837,2544292,1787363,1667194,62063,239382,372433,344207,278035,218635,191784,185794,196343,193933,346870,180446,168978,150113,122651,86180,59071,34990,22649
1970-01-01,AR,352451,4288,1576077,995782,937034,33083,125904,197032,183793,145180,117059,99808,96003,101853,104664,186674,103983,101865,97847,84948,62579,46047,26751,17743
1970-01-01,AZ,54177,108891,1636463,914150,885381,34059,127220,195872,174752,150539,119508,102399,97635,99565,101044,186839,91482,81141,73788,63006,46765,29714,15373,8830
1970-01-01,CA,1419276,704626,17921904,10179225,9866581,343197,1300202,1971155,1834922,1764327,1474235,1229768,1149477,1208472,1247538,1914392,1091664,939830,777012,624149,486825,344141,211843,132657
1970-01-01,CO,67410,23892,2137038,1128108,1100232,39708,148192,235201,220108,208338,161200,136049,127671,129087,125676,224370,110357,94061,79698,62674,49807,37180,23534,15429
1970-01-01,CT,182341,11203,2844491,1564512,1473523,49802,202170,305280,266448,231906,206936,169919,166895,187841,196404,295138,185933,158145,127156,97184,77992,57369,34628,20889
1970-01-01,DC,536529,7424,211513,404380,351086,12225,46825,64301,65840,79757,65040,47884,42108,42501,43188,63899,40481,38014,33019,25350,19591,12898,7545,5000
1970-01-01,DE,78971,2593,469945,282572,268937,9703,38817,59553,52006,44499,38530,32530,32164,33384,33702,57682,30146,24708,20220,15281,12038,8369,5006,3171
1970-01-01,FL,1049256,23592,5792612,3552150,3313310,104272,400919,648197,586225,507465,411081,363390,356916,393169,397908,606949,372438,352330,364214,363312,293710,191311,98289,53365
1970-01-01,GA,1192316,9353,3409810,2370967,2240512,87140,335633,483429,446981,421412,333470,276038,256655,260349,253037,470651,234135,208362,176915,138507,97993,66375,39417,24980
1970-01-01,HI,7633,519216,249328,373042,403135,15251,55960,80415,72795,82610,60299,48474,46799,48908,46582,80079,38676,30909,23932,17890,11996,7128,4645,2829
1970-01-01,IA,32940,7411,2790426,1454651,1376126,47572,185700,293968,275216,206737,169270,147761,141357,154549,158303,279066,153111,140979,127483,107969,93009,72248,46078,30401
1970-01-01,ID,2154,10610,705383,359599,358548,13766,50946,79875,74749,54477,45235,39073,36897,38284,39263,73215,38805,35320,30375,22796,17707,13445,8565,5354
1970-01-01,IL,1427952,70595,9630769,5729458,5399858,189152,746644,1135879,1018405,852726,751473,638687,605676,657927,669658,1094089,628365,569734,479932,378767,295089,214209,127000,75904
1970-01-01,IN,359413,12634,4834215,2669048,2537214,92807,363402,547096,505757,419309,348169,294645,278410,302031,304897,527594,275637,245000,208633,166981,132575,96318,59304,37697
1970-01-01,KS,107488,14705,2126166,1145694,1102665,36659,138518,226995,218127,190405,140203,118601,117029,125500,128206,211584,119163,110375,101440,84263,70424,53465,34574,22828
1970-01-01,KY,232036,5011,2999074,1648402,1587719,55545,217114,335052,321827,269151,206758,178151,169566,180862,182966,317377,167864,156336,140262,117078,91031,64780,39424,24977
1970-01-01,LA,1089757,10806,2556828,1877077,1780314,70347,277913,411970,379327,304754,236179,200192,190254,202754,196726,397124,178351,162297,142940,117869,82853,54175,30909,20457
1970-01-01,MA,177904,30414,5490716,2974923,2724111,92117,375810,557030,518316,468788,374603,297623,295419,329500,342426,540394,326926,291380,253836,208030,173965,127021,77438,48412
1970-01-01,MD,709009,25003,3209481,2016708,1926785,67114,276520,412437,360409,329511,289200,240525,228031,244291,248849,404172,217577,180219,145235,110214,82617,54836,32130,19606
1970-01-01,ME,3024,3643,991468,511458,486677,16985,67844,102460,94453,77127,59569,51702,52364,56484,56813,99299,53355,49301,45691,37902,31145,22266,13999,9376
1970-01-01,MI,998453,40707,7860684,4539167,4360677,163177,640908,980898,879283,710915,597993,491818,472338,526323,530003,922116,480223,413725,338608,264540,203749,147191,85602,50434
