year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1961,498,154,0.31,0,0,2,0.01,2352624,0,OK
1961,305,92,0.30,0,0,0,0,1764906,0,OR
1961,1904,388,0.20,0,0,0,0,11522870,0,PA
1961,25,0,0,0,0,0,0,2353297,0,NA
1961,64,32,0.50,0,0,0,0,859488,0,RI
1961,573,89,0.16,0,0,1,0.01,2419593,0,SC
1961,192,85,0.44,0,0,0,0,680514,0,SD
1961,606,125,0.21,0,0,0,0,3438446,0,TN
1961,1265,451,0.36,0,0,2,0.00,9760209,0,TX
1961,199,59,0.30,0,0,0,0,918426,0,UT
1961,3,0,0,0,0,0,0,0,0,NA
1961,492,139,0.28,0,0,1,0.01,3851731,0,VA
1961,105,26,0.25,0,0,0,0,389881,0,VT
1961,328,107,0.33,0,0,0,0,2864810,0,WA
1961,489,187,0.38,0,0,0,0,4028618,0,WI
1961,542,53,0.10,0,0,0,0,1860421,0,WV
1961,89,41,0.46,0,0,0,0,330066,0,WY
1961,1,0,0,0,0,0,0,0,0,NA
1961,0,0,0,0,0,0,0,0,0,NA
1962,55,0,0,0,0,0,0,0,0,AK
1962,488,117,0.24,0,0,0,0,3418635,0,AL
1962,346,95,0.27,0,0,0,0,1864019,0,AR
1962,1,0,0,0,0,0,0,0,0,NA
1962,173,42,0.24,0,0,0,0,1514938,0,AZ
1962,931,383,0.41,0,0,2,0.01,17447000,0,CA
1962,321,102,0.32,0,0,0,0,1934622,0,CO
1962,129,77,0.60,0,0,0,0,2670948,0,CT
1962,1,0,0,0,0,0,0,0,0,NA
1962,3,1,0.33,0,0,0,0,784000,0,DC
1962,84,11,0.13,0,0,0,0,476802,0,DE
1962,1219,174,0.14,0,0,0,0,5533089,0,FL
1962,825,168,0.20,0,0,2,0.01,4151178,0,GA
1962,3,0,0,0,0,0,0,0,0,NA
1962,18,0,0,0,0,0,0,0,0,HI
1962,283,195,0.69,0,0,0,0,2785762,0,IA
1962,152,73,0.48,0,0,0,0,700318,0,ID
1962,1186,395,0.33,0,0,0,0,10170866,0,IL
1962,414,217,0.52,0,0,0,0,4718227,0,IN
1962,473,185,0.39,0,0,0,0,2229579,0,KS
1962,709,163,0.23,0,0,0,0,3082135,0,KY
1962,314,100,0.32,0,0,0,0,3480589,0,LA
1962,511,220,0.43,0,0,0,0,5179161,0,MA
1962,213,52,0.24,0,0,0,0,3267047,0,MD
1962,260,78,0.30,0,0,0,0,1001733,0,ME
1962,874,265,0.30,0,0,0,0,8000087,0,MI
1962,485,208,0.43,0,0,0,0,3488592,0,MN
1962,727,226,0.31,0,0,0,0,4421823,0,MO
1962,258,78,0.30,0,0,0,0,2252189,0,MS
1962,148,81,0.55,0,0,0,0,714038,0,MT
1962,342,130,0.38,0,0,0,0,1487318,0,NE
1962,827,163,0.20,0,0,0,0,4715715,0,NC
1962,144,65,0.45,0,0,0,0,642013,0,ND
1962,259,39,0.15,0,0,0,0,632004,0,NH
1962,658,315,0.48,0,0,1,0.00,6267660,0,NJ
1962,164,58,0.35,0,0,0,0,1056682,0,NM
1962,79,26,0.33,0,0,0,0,335008,0,NV
1962,1257,295,0.23,0,0,2,0.01,18184766,0,NY
1962,933,361,0.39,0,0,0,0,10104365,0,OH
1962,498,146,0.29,0,0,2,0.01,2476753,0,OK
1962,305,90,0.30,0,0,0,0,1860204,0,OR
1962,1904,448,0.24,0,0,0,0,11529010,0,PA
1962,25,0,0,0,0,0,0,0,0,NA
1962,64,30,0.47,0,0,0,0,864998,0,RI
1962,573,85,0.15,0,0,0,0,2475911,0,SC
1962,192,80,0.42,0,0,0,0,721010,0,SD
1962,606,114,0.19,0,0,0,0,3509372,0,TN
1962,1265,388,0.31,0,0,2,0.01,9336493,0,TX
1962,199,0,0,0,0,0,0,0,0,UT
1962,3,0,0,0,0,0,0,0,0,NA
1962,492,0,0,0,0,0,0,0,0,VA
1962,105,0,0,0,0,0,0,0,0,VT
1962,328,0,0,0,0,0,0,0,0,WA
1962,489,0,0,0,0,0,0,0,0,WI
