year,state,governor,party
2016-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2016-01-01,MT,Steve Bullock,Democrat
2016-01-01,NE,Pete Ricketts,Republican
2016-01-01,NV,Brian Sandoval,Republican
2016-01-01,NH,Maggie Hassan,Democrat
2016-01-01,NJ,Christopher Christie,Republican
2016-01-01,NM,Susana Martinez,Republican
2016-01-01,NY,Andrew Cuomo,Democrat
2016-01-01,NC,Pat McCrory,Republican
2016-01-01,ND,Doug Burgum,Republican
2016-01-01,OH,John Kasich,Republican
2016-01-01,OK,Mary Fallin,Republican
2016-01-01,OR,Kate Brown,Democrat
2016-01-01,PA,Tom Wolf,Democrat
2016-01-01,RI,Gina Raimondo,Democrat
2016-01-01,SC,Nikki R. Haley,Republican
2016-01-01,SD,Dennis Daugaard,Republican
2016-01-01,TN,Bill Haslam,Republican
2016-01-01,TX,Greg Abbott,Republican
2016-01-01,UT,Gary Richard Herbert,Republican
2016-01-01,VT,Peter Shumlin,Democrat
2016-01-01,VA,Terry McAuliffe,Democrat
2016-01-01,WA,Jay Inslee,Democrat
2016-01-01,WV,Earl Ray Tomblin,Democrat
2016-01-01,WI,Scott Walker,Republican
2016-01-01,WY,Matthew Mead,Republican
2015-01-01,AL,Robert Bentley,Republican
2015-01-01,AK,Bill Walker,Independent
2015-01-01,AZ,Doug Ducey,Republican
2015-01-01,AR,Asa Hutchinson,Republican
2015-01-01,CA,Edmund G. Brown,Democrat
2015-01-01,CO,John Hickenlooper,Democrat
2015-01-01,CT,Dannel Malloy,Democrat
2015-01-01,DE,Jack Markell,Democrat
2015-01-01,FL,Rick Scott,Republican
2015-01-01,GA,Nathan Deal,Republican
2015-01-01,HI,David Ige,Democrat
2015-01-01,ID,"C. L. ""Butch"" Otter",Republican
2015-01-01,IL,Bruce Rauner,Republican
2015-01-01,IN,Mike Pence,Republican
2015-01-01,IA,Terry E. Branstad,Republican
2015-01-01,KS,Sam Brownback,Republican
2015-01-01,KY,Matt Bevin,Republican
2015-01-01,LA,Bobby Jindal,Republican
2015-01-01,ME,Paul LePage,Republican
2015-01-01,MD,Larry Hogan,Republican
2015-01-01,MA,Charlie Baker,Republican
2015-01-01,MI,Rick Snyder,Republican
2015-01-01,MN,Mark Dayton,Democrat
2015-01-01,MS,Phil Bryant,Republican
2015-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2015-01-01,MT,Steve Bullock,Democrat
2015-01-01,NE,Pete Ricketts,Republican
2015-01-01,NV,Brian Sandoval,Republican
2015-01-01,NH,Maggie Hassan,Democrat
2015-01-01,NJ,Christopher Christie,Republican
2015-01-01,NM,Susana Martinez,Republican
2015-01-01,NY,Andrew Cuomo,Democrat
2015-01-01,NC,Pat McCrory,Republican
2015-01-01,ND,Jack Dalrymple,Republican
2015-01-01,OH,John Kasich,Republican
2015-01-01,OK,Mary Fallin,Republican
2015-01-01,OR,Kate Brown,Democrat
2015-01-01,PA,Tom Wolf,Democrat
2015-01-01,RI,Gina Raimondo,Democrat
2015-01-01,SC,Nikki R. Haley,Republican
2015-01-01,SD,Dennis Daugaard,Republican
2015-01-01,TN,Bill Haslam,Republican
2015-01-01,TX,Greg Abbott,Republican
2015-01-01,UT,Gary Richard Herbert,Republican
2015-01-01,VT,Peter Shumlin,Democrat
2015-01-01,VA,Terry McAuliffe,Democrat
2015-01-01,WA,Jay Inslee,Democrat
2015-01-01,WV,Earl Ray Tomblin,Democrat
2015-01-01,WI,Scott Walker,Republican
2015-01-01,WY,Matthew Mead,Republican
2014-01-01,AL,Robert Bentley,Republican
2014-01-01,AK,Bill Walker,Independent
2014-01-01,AZ,Jan Brewer,Republican
2014-01-01,AR,Mike Beebe,Democrat
2014-01-01,CA,Edmund G. Brown,Democrat
2014-01-01,CO,John Hickenlooper,Democrat
2014-01-01,CT,Dannel Malloy,Democrat
2014-01-01,DE,Jack Markell,Democrat
2014-01-01,FL,Rick Scott,Republican
2014-01-01,GA,Nathan Deal,Republican
2014-01-01,HI,David Ige,Democrat
2014-01-01,ID,"C. L. ""Butch"" Otter",Republican
2014-01-01,IL,Pat Quinn,Democrat
2014-01-01,IN,Mike Pence,Republican
2014-01-01,IA,Terry E. Branstad,Republican
2014-01-01,KS,Sam Brownback,Republican
2014-01-01,KY,Steven L. Beshear,Democrat
2014-01-01,LA,Bobby Jindal,Republican
2014-01-01,ME,Paul LePage,Republican
2014-01-01,MD,Martin O'Malley,Democrat
2014-01-01,MA,Deval Patrick,Democrat
2014-01-01,MI,Rick Snyder,Republican
2014-01-01,MN,Mark Dayton,Democrat
2014-01-01,MS,Phil Bryant,Republican
2014-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2014-01-01,MT,Steve Bullock,Democrat
2014-01-01,NE,Dave Heineman,Republican
2014-01-01,NV,Brian Sandoval,Republican
2014-01-01,NH,Maggie Hassan,Democrat
2014-01-01,NJ,Christopher Christie,Republican
2014-01-01,NM,Susana Martinez,Republican
2014-01-01,NY,Andrew Cuomo,Democrat
2014-01-01,NC,Pat McCrory,Republican
2014-01-01,ND,Jack Dalrymple,Republican
2014-01-01,OH,John Kasich,Republican
2014-01-01,OK,Mary Fallin,Republican
2014-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2014-01-01,PA,Tom Corbett,Republican
2014-01-01,RI,Lincoln Chafee,Democrat
2014-01-01,SC,Nikki R. Haley,Republican
2014-01-01,SD,Dennis Daugaard,Republican
2014-01-01,TN,Bill Haslam,Republican
2014-01-01,TX,Rick Perry,Republican
2014-01-01,UT,Gary Richard Herbert,Republican
2014-01-01,VT,Peter Shumlin,Democrat
2014-01-01,VA,Terry McAuliffe,Democrat
2014-01-01,WA,Jay Inslee,Democrat
2014-01-01,WV,Earl Ray Tomblin,Democrat
2014-01-01,WI,Scott Walker,Republican
2014-01-01,WY,Matthew Mead,Republican
2013-01-01,AL,Robert Bentley,Republican
2013-01-01,AK,Sean Parnell,Republican
2013-01-01,AZ,Jan Brewer,Republican
2013-01-01,AR,Mike Beebe,Democrat
2013-01-01,CA,Edmund G. Brown,Democrat
2013-01-01,CO,John Hickenlooper,Democrat
2013-01-01,CT,Dannel Malloy,Democrat
2013-01-01,DE,Jack Markell,Democrat
2013-01-01,FL,Rick Scott,Republican
2013-01-01,GA,Nathan Deal,Republican
2013-01-01,HI,Neil Abercrombie,Democrat
2013-01-01,ID,"C. L. ""Butch"" Otter",Republican
2013-01-01,IL,Pat Quinn,Democrat
2013-01-01,IN,Mike Pence,Republican
2013-01-01,IA,Terry E. Branstad,Republican
2013-01-01,KS,Sam Brownback,Republican
2013-01-01,KY,Steven L. Beshear,Democrat
2013-01-01,LA,Bobby Jindal,Republican
2013-01-01,ME,Paul LePage,Republican
2013-01-01,MD,Martin O'Malley,Democrat
2013-01-01,MA,Deval Patrick,Democrat
2013-01-01,MI,Rick Snyder,Republican
2013-01-01,MN,Mark Dayton,Democrat
2013-01-01,MS,Phil Bryant,Republican
2013-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2013-01-01,MT,Steve Bullock,Democrat
2013-01-01,NE,Dave Heineman,Republican
2013-01-01,NV,Brian Sandoval,Republican
2013-01-01,NH,Maggie Hassan,Democrat
2013-01-01,NJ,Christopher Christie,Republican
2013-01-01,NM,Susana Martinez,Republican
2013-01-01,NY,Andrew Cuomo,Democrat
2013-01-01,NC,Pat McCrory,Republican
2013-01-01,ND,Jack Dalrymple,Republican
2013-01-01,OH,John Kasich,Republican
2013-01-01,OK,Mary Fallin,Republican
2013-01-01,OR,"John A. Kitzhaber, M.D.",Democrat
2013-01-01,PA,Tom Corbett,Republican
2013-01-01,RI,Lincoln Chafee,Democrat
2013-01-01,SC,Nikki R. Haley,Republican
2013-01-01,SD,Dennis Daugaard,Republican
2013-01-01,TN,Bill Haslam,Republican
2013-01-01,TX,Rick Perry,Republican
2013-01-01,UT,Gary Richard Herbert,Republican
2013-01-01,VT,Peter Shumlin,Democrat
2013-01-01,VA,Robert McDonnell,Republican
2013-01-01,WA,Jay Inslee,Democrat
2013-01-01,WV,Earl Ray Tomblin,Democrat
2013-01-01,WI,Scott Walker,Republican
2013-01-01,WY,Matthew Mead,Republican
2012-01-01,AL,Robert Bentley,Republican
2012-01-01,AK,Sean Parnell,Republican
2012-01-01,AZ,Jan Brewer,Republican
2012-01-01,AR,Mike Beebe,Democrat
2012-01-01,CA,Edmund G. Brown,Democrat
2012-01-01,CO,John Hickenlooper,Democrat
2012-01-01,CT,Dannel Malloy,Democrat
2012-01-01,DE,Jack Markell,Democrat
2012-01-01,FL,Rick Scott,Republican
2012-01-01,GA,Nathan Deal,Republican
2012-01-01,HI,Neil Abercrombie,Democrat
2012-01-01,ID,"C. L. ""Butch"" Otter",Republican
