year,state,governor,party
1989-01-01,ND,George Albert Sinner,Democrat
1989-01-01,OH,Richard F. Celeste,Democrat
1989-01-01,OK,Henry Louis Bellmon,Republican
1989-01-01,OR,Neil Goldschmidt,Democrat
1989-01-01,PA,Robert P. Casey,Democrat
1989-01-01,RI,Edward D. DiPrete,Republican
1989-01-01,SC,Carroll A. Campbell,Republican
1989-01-01,SD,George S. Mickelson,Republican
1989-01-01,TN,Ned Ray McWherter,Democrat
1989-01-01,TX,"William P. Clements, Jr.",Republican
1989-01-01,UT,Norman Howard Bangerter,Republican
1989-01-01,VT,Madeleine M. Kunin,Democrat
1989-01-01,VA,Gerald L. Baliles,Democrat
1989-01-01,WA,Booth Gardner,Democrat
1989-01-01,WV,Gaston Caperton,Democrat
1989-01-01,WI,Tommy G. Thompson,Republican
1989-01-01,WY,Michael J. Sullivan,Democrat
1988-01-01,AL,Harold Guy Hunt,Republican
1988-01-01,AK,Steve Cowper,Democrat
1988-01-01,AZ,Rose Mofford,Democrat
1988-01-01,AR,William Jefferson Clinton,Democrat
1988-01-01,CA,George Deukmejian,Republican
1988-01-01,CO,Roy Romer,Democrat
1988-01-01,CT,William A. O'Neill,Democrat
1988-01-01,DE,Michael Newbold Castle,Republican
1988-01-01,FL,Robert Martinez,Republican
1988-01-01,GA,Joe Frank Harris,Democrat
1988-01-01,HI,John Waihee,Democrat
1988-01-01,ID,Cecil Dale Andrus,Democrat
1988-01-01,IL,James Robert Thompson,Republican
1988-01-01,IN,Robert D. Orr,Republican
1988-01-01,IA,Terry E. Branstad,Republican
1988-01-01,KS,John Michael Hayden,Republican
1988-01-01,KY,Wallace G. Wilkinson,Democrat
1988-01-01,LA,Buddy Elson Roemer,Democrat
1988-01-01,ME,John Rettie McKernan,Republican
1988-01-01,MD,William Donald Schaefer,Democrat
1988-01-01,MA,Michael Stanley Dukakis,Democrat
1988-01-01,MI,James Johnston Blanchard,Democrat
1988-01-01,MN,Rudolph George Perpich,Democrat
1988-01-01,MS,Raymond Edwin Mabus,Democrat
1988-01-01,MO,John Ashcroft,Republican
1988-01-01,MT,Ted Schwinden,Democrat
1988-01-01,NE,Kay A. Orr,Republican
1988-01-01,NV,Richard H. Bryan,Democrat
1988-01-01,NH,John H. Sununu,Republican
1988-01-01,NJ,Thomas H. Kean,Republican
1988-01-01,NM,Garrey E. Carruthers,Republican
1988-01-01,NY,Mario Matthew Cuomo,Democrat
1988-01-01,NC,James G Martin,Republican
1988-01-01,ND,George Albert Sinner,Democrat
1988-01-01,OH,Richard F. Celeste,Democrat
1988-01-01,OK,Henry Louis Bellmon,Republican
1988-01-01,OR,Neil Goldschmidt,Democrat
1988-01-01,PA,Robert P. Casey,Democrat
1988-01-01,RI,Edward D. DiPrete,Republican
1988-01-01,SC,Carroll A. Campbell,Republican
1988-01-01,SD,George S. Mickelson,Republican
1988-01-01,TN,Ned Ray McWherter,Democrat
1988-01-01,TX,"William P. Clements, Jr.",Republican
1988-01-01,UT,Norman Howard Bangerter,Republican
1988-01-01,VT,Madeleine M. Kunin,Democrat
1988-01-01,VA,Gerald L. Baliles,Democrat
1988-01-01,WA,Booth Gardner,Democrat
1988-01-01,WV,Arch A. Moore,Republican
1988-01-01,WI,Tommy G. Thompson,Republican
1988-01-01,WY,Michael J. Sullivan,Democrat
1987-01-01,AL,Harold Guy Hunt,Republican
1987-01-01,AK,Steve Cowper,Democrat
1987-01-01,AZ,Evan Mecham,Republican
1987-01-01,AR,William Jefferson Clinton,Democrat
1987-01-01,CA,George Deukmejian,Republican
1987-01-01,CO,Roy Romer,Democrat
1987-01-01,CT,William A. O'Neill,Democrat
1987-01-01,DE,Michael Newbold Castle,Republican
1987-01-01,FL,Robert Martinez,Republican
1987-01-01,GA,Joe Frank Harris,Democrat
1987-01-01,HI,John Waihee,Democrat
1987-01-01,ID,Cecil Dale Andrus,Democrat
1987-01-01,IL,James Robert Thompson,Republican
1987-01-01,IN,Robert D. Orr,Republican
1987-01-01,IA,Terry E. Branstad,Republican
1987-01-01,KS,John Michael Hayden,Republican
1987-01-01,KY,Wallace G. Wilkinson,Democrat
1987-01-01,LA,Edwin Washington Edwards,Democrat
1987-01-01,ME,John Rettie McKernan,Republican
1987-01-01,MD,William Donald Schaefer,Democrat
1987-01-01,MA,Michael Stanley Dukakis,Democrat
1987-01-01,MI,James Johnston Blanchard,Democrat
1987-01-01,MN,Rudolph George Perpich,Democrat
1987-01-01,MS,William A. Allain,Democrat
1987-01-01,MO,John Ashcroft,Republican
1987-01-01,MT,Ted Schwinden,Democrat
1987-01-01,NE,Kay A. Orr,Republican
1987-01-01,NV,Richard H. Bryan,Democrat
1987-01-01,NH,John H. Sununu,Republican
1987-01-01,NJ,Thomas H. Kean,Republican
1987-01-01,NM,Garrey E. Carruthers,Republican
1987-01-01,NY,Mario Matthew Cuomo,Democrat
1987-01-01,NC,James G Martin,Republican
1987-01-01,ND,George Albert Sinner,Democrat
1987-01-01,OH,Richard F. Celeste,Democrat
1987-01-01,OK,Henry Louis Bellmon,Republican
1987-01-01,OR,Neil Goldschmidt,Democrat
1987-01-01,PA,Robert P. Casey,Democrat
1987-01-01,RI,Edward D. DiPrete,Republican
1987-01-01,SC,Carroll A. Campbell,Republican
1987-01-01,SD,George S. Mickelson,Republican
1987-01-01,TN,Ned Ray McWherter,Democrat
1987-01-01,TX,"William P. Clements, Jr.",Republican
1987-01-01,UT,Norman Howard Bangerter,Republican
1987-01-01,VT,Madeleine M. Kunin,Democrat
1987-01-01,VA,Gerald L. Baliles,Democrat
1987-01-01,WA,Booth Gardner,Democrat
1987-01-01,WV,Arch A. Moore,Republican
1987-01-01,WI,Tommy G. Thompson,Republican
1987-01-01,WY,Michael J. Sullivan,Democrat
1986-01-01,AL,George Corley Wallace,Democrat
1986-01-01,AK,Steve Cowper,Democrat
1986-01-01,AZ,Bruce Edward Babbitt,Democrat
1986-01-01,AR,William Jefferson Clinton,Democrat
1986-01-01,CA,George Deukmejian,Republican
1986-01-01,CO,Richard D. Lamm,Democrat
1986-01-01,CT,William A. O'Neill,Democrat
1986-01-01,DE,Michael Newbold Castle,Republican
1986-01-01,FL,Daniel Robert Graham,Democrat
1986-01-01,GA,Joe Frank Harris,Democrat
1986-01-01,HI,John Waihee,Democrat
1986-01-01,ID,John Victor Evans,Democrat
1986-01-01,IL,James Robert Thompson,Republican
1986-01-01,IN,Robert D. Orr,Republican
1986-01-01,IA,Terry E. Branstad,Republican
1986-01-01,KS,John Carlin,Democrat
1986-01-01,KY,Martha Layne Collins,Democrat
1986-01-01,LA,Edwin Washington Edwards,Democrat
1986-01-01,ME,Joseph Edward Brennan,Democrat
1986-01-01,MD,Harry Roe Hughes,Democrat
1986-01-01,MA,Michael Stanley Dukakis,Democrat
1986-01-01,MI,James Johnston Blanchard,Democrat
1986-01-01,MN,Rudolph George Perpich,Democrat
1986-01-01,MS,William A. Allain,Democrat
1986-01-01,MO,John Ashcroft,Republican
1986-01-01,MT,Ted Schwinden,Democrat
1986-01-01,NE,Joseph Robert (Bob) Kerrey,Democrat
1986-01-01,NV,Richard H. Bryan,Democrat
1986-01-01,NH,John H. Sununu,Republican
1986-01-01,NJ,Thomas H. Kean,Republican
1986-01-01,NM,Toney Anaya,Democrat
1986-01-01,NY,Mario Matthew Cuomo,Democrat
1986-01-01,NC,James G Martin,Republican
1986-01-01,ND,George Albert Sinner,Democrat
1986-01-01,OH,Richard F. Celeste,Democrat
1986-01-01,OK,George Patterson Nigh,Democrat
1986-01-01,OR,Victor G. Atiyeh,Republican
1986-01-01,PA,Dick Thornburgh,Republican
1986-01-01,RI,Edward D. DiPrete,Republican
1986-01-01,SC,Richard Wilson Riley,Democrat
1986-01-01,SD,William J. Janklow,Republican
1986-01-01,TN,Lamar Alexander,Republican
1986-01-01,TX,Mark White,Democrat
1986-01-01,UT,Norman Howard Bangerter,Republican
1986-01-01,VT,Madeleine M. Kunin,Democrat
1986-01-01,VA,Gerald L. Baliles,Democrat
1986-01-01,WA,Booth Gardner,Democrat
1986-01-01,WV,Arch A. Moore,Republican
1986-01-01,WI,Anthony S. Earl,Democrat
1986-01-01,WY,Edward Herschler,Democrat
1985-01-01,AL,George Corley Wallace,Democrat
1985-01-01,AK,William Jennings Sheffield,Democrat
1985-01-01,AZ,Bruce Edward Babbitt,Democrat
1985-01-01,AR,William Jefferson Clinton,Democrat
1985-01-01,CA,George Deukmejian,Republican
1985-01-01,CO,Richard D. Lamm,Democrat
1985-01-01,CT,William A. O'Neill,Democrat
1985-01-01,DE,Michael Newbold Castle,Republican
1985-01-01,FL,Daniel Robert Graham,Democrat
1985-01-01,GA,Joe Frank Harris,Democrat
1985-01-01,HI,George Ryoichi Ariyoshi,Democrat
1985-01-01,ID,John Victor Evans,Democrat
1985-01-01,IL,James Robert Thompson,Republican
1985-01-01,IN,Robert D. Orr,Republican
1985-01-01,IA,Terry E. Branstad,Republican
1985-01-01,KS,John Carlin,Democrat
1985-01-01,KY,Martha Layne Collins,Democrat
1985-01-01,LA,Edwin Washington Edwards,Democrat
1985-01-01,ME,Joseph Edward Brennan,Democrat
1985-01-01,MD,Harry Roe Hughes,Democrat
1985-01-01,MA,Michael Stanley Dukakis,Democrat
1985-01-01,MI,James Johnston Blanchard,Democrat
1985-01-01,MN,Rudolph George Perpich,Democrat
1985-01-01,MS,William A. Allain,Democrat
1985-01-01,MO,John Ashcroft,Republican
1985-01-01,MT,Ted Schwinden,Democrat
1985-01-01,NE,Joseph Robert (Bob) Kerrey,Democrat
1985-01-01,NV,Richard H. Bryan,Democrat
1985-01-01,NH,John H. Sununu,Republican
1985-01-01,NJ,Thomas H. Kean,Republican
1985-01-01,NM,Toney Anaya,Democrat
1985-01-01,NY,Mario Matthew Cuomo,Democrat
1985-01-01,NC,James G Martin,Republican
1985-01-01,ND,George Albert Sinner,Democrat
1985-01-01,OH,Richard F. Celeste,Democrat
1985-01-01,OK,George Patterson Nigh,Democrat
1985-01-01,OR,Victor G. Atiyeh,Republican
1985-01-01,PA,Dick Thornburgh,Republican
1985-01-01,RI,Edward D. DiPrete,Republican
1985-01-01,SC,Richard Wilson Riley,Democrat
1985-01-01,SD,William J. Janklow,Republican
1985-01-01,TN,Lamar Alexander,Republican
1985-01-01,TX,Mark White,Democrat
1985-01-01,UT,Norman Howard Bangerter,Republican
1985-01-01,VT,Madeleine M. Kunin,Democrat
1985-01-01,VA,Charles Spittal Robb,Democrat
1985-01-01,WA,Booth Gardner,Democrat
1985-01-01,WV,Arch A. Moore,Republican
1985-01-01,WI,Anthony S. Earl,Democrat
1985-01-01,WY,Edward Herschler,Democrat
1984-01-01,AL,George Corley Wallace,Democrat
1984-01-01,AK,William Jennings Sheffield,Democrat
1984-01-01,AZ,Bruce Edward Babbitt,Democrat
1984-01-01,AR,William Jefferson Clinton,Democrat
1984-01-01,CA,George Deukmejian,Republican
1984-01-01,CO,Richard D. Lamm,Democrat
1984-01-01,CT,William A. O'Neill,Democrat
1984-01-01,DE,Pierre Samuel Du Pont,Republican
1984-01-01,FL,Daniel Robert Graham,Democrat
1984-01-01,GA,Joe Frank Harris,Democrat
1984-01-01,HI,George Ryoichi Ariyoshi,Democrat
1984-01-01,ID,John Victor Evans,Democrat
1984-01-01,IL,James Robert Thompson,Republican
1984-01-01,IN,Robert D. Orr,Republican
1984-01-01,IA,Terry E. Branstad,Republican
1984-01-01,KS,John Carlin,Democrat
1984-01-01,KY,Martha Layne Collins,Democrat
1984-01-01,LA,Edwin Washington Edwards,Democrat
1984-01-01,ME,Joseph Edward Brennan,Democrat
1984-01-01,MD,Harry Roe Hughes,Democrat
1984-01-01,MA,Michael Stanley Dukakis,Democrat
1984-01-01,MI,James Johnston Blanchard,Democrat
1984-01-01,MN,Rudolph George Perpich,Democrat
1984-01-01,MS,William A. Allain,Democrat
1984-01-01,MO,Christopher S. Bond,Republican
1984-01-01,MT,Ted Schwinden,Democrat
1984-01-01,NE,Joseph Robert (Bob) Kerrey,Democrat
1984-01-01,NV,Richard H. Bryan,Democrat
1984-01-01,NH,John H. Sununu,Republican
1984-01-01,NJ,Thomas H. Kean,Republican
1984-01-01,NM,Toney Anaya,Democrat
1984-01-01,NY,Mario Matthew Cuomo,Democrat
1984-01-01,NC,James B. Hunt,Democrat
1984-01-01,ND,Allen Ingvar Olson,Republican
1984-01-01,OH,Richard F. Celeste,Democrat
1984-01-01,OK,George Patterson Nigh,Democrat
1984-01-01,OR,Victor G. Atiyeh,Republican
1984-01-01,PA,Dick Thornburgh,Republican
1984-01-01,RI,J. Joseph Garrahy,Democrat
1984-01-01,SC,Richard Wilson Riley,Democrat
1984-01-01,SD,William J. Janklow,Republican
1984-01-01,TN,Lamar Alexander,Republican
1984-01-01,TX,Mark White,Democrat
1984-01-01,UT,Scott M. Matheson,Democrat
1984-01-01,VT,Richard A. Snelling,Republican
1984-01-01,VA,Charles Spittal Robb,Democrat
1984-01-01,WA,John Dennis Spellman,Republican
1984-01-01,WV,John Davison Rockefeller,Democrat
1984-01-01,WI,Anthony S. Earl,Democrat
1984-01-01,WY,Edward Herschler,Democrat
1983-01-01,AL,George Corley Wallace,Democrat
1983-01-01,AK,William Jennings Sheffield,Democrat
1983-01-01,AZ,Bruce Edward Babbitt,Democrat
1983-01-01,AR,William Jefferson Clinton,Democrat
1983-01-01,CA,George Deukmejian,Republican
1983-01-01,CO,Richard D. Lamm,Democrat
1983-01-01,CT,William A. O'Neill,Democrat
1983-01-01,DE,Pierre Samuel Du Pont,Republican
1983-01-01,FL,Daniel Robert Graham,Democrat
1983-01-01,GA,Joe Frank Harris,Democrat
1983-01-01,HI,George Ryoichi Ariyoshi,Democrat
1983-01-01,ID,John Victor Evans,Democrat
1983-01-01,IL,James Robert Thompson,Republican
1983-01-01,IN,Robert D. Orr,Republican
1983-01-01,IA,Terry E. Branstad,Republican
1983-01-01,KS,John Carlin,Democrat
1983-01-01,KY,Martha Layne Collins,Democrat
1983-01-01,LA,David C. Treen,Republican
1983-01-01,ME,Joseph Edward Brennan,Democrat
1983-01-01,MD,Harry Roe Hughes,Democrat
1983-01-01,MA,Michael Stanley Dukakis,Democrat
1983-01-01,MI,James Johnston Blanchard,Democrat
1983-01-01,MN,Rudolph George Perpich,Democrat
1983-01-01,MS,William Forrest Winter,Democrat
1983-01-01,MO,Christopher S. Bond,Republican
1983-01-01,MT,Ted Schwinden,Democrat
1983-01-01,NE,Joseph Robert (Bob) Kerrey,Democrat
1983-01-01,NV,Richard H. Bryan,Democrat
1983-01-01,NH,John H. Sununu,Republican
1983-01-01,NJ,Thomas H. Kean,Republican
1983-01-01,NM,Toney Anaya,Democrat
1983-01-01,NY,Mario Matthew Cuomo,Democrat
1983-01-01,NC,James B. Hunt,Democrat
1983-01-01,ND,Allen Ingvar Olson,Republican
1983-01-01,OH,Richard F. Celeste,Democrat
1983-01-01,OK,George Patterson Nigh,Democrat
1983-01-01,OR,Victor G. Atiyeh,Republican
1983-01-01,PA,Dick Thornburgh,Republican
1983-01-01,RI,J. Joseph Garrahy,Democrat
1983-01-01,SC,Richard Wilson Riley,Democrat
1983-01-01,SD,William J. Janklow,Republican
1983-01-01,TN,Lamar Alexander,Republican
1983-01-01,TX,Mark White,Democrat
1983-01-01,UT,Scott M. Matheson,Democrat
1983-01-01,VT,Richard A. Snelling,Republican
1983-01-01,VA,Charles Spittal Robb,Democrat
1983-01-01,WA,John Dennis Spellman,Republican
1983-01-01,WV,John Davison Rockefeller,Democrat
1983-01-01,WI,Anthony S. Earl,Democrat
1983-01-01,WY,Edward Herschler,Democrat
1982-01-01,AL,Forrest Hood James,Democrat
1982-01-01,AK,William Jennings Sheffield,Democrat
1982-01-01,AZ,Bruce Edward Babbitt,Democrat
1982-01-01,AR,Frank D. White,Republican
1982-01-01,CA,Edmund G. Brown,Democrat
1982-01-01,CO,Richard D. Lamm,Democrat
1982-01-01,CT,William A. O'Neill,Democrat
1982-01-01,DE,Pierre Samuel Du Pont,Republican
1982-01-01,FL,Daniel Robert Graham,Democrat
1982-01-01,GA,George Dekle Busbee,Democrat
1982-01-01,HI,George Ryoichi Ariyoshi,Democrat
1982-01-01,ID,John Victor Evans,Democrat
1982-01-01,IL,James Robert Thompson,Republican
1982-01-01,IN,Robert D. Orr,Republican
1982-01-01,IA,Robert D. Ray,Republican
1982-01-01,KS,John Carlin,Democrat
1982-01-01,KY,John Y. Brown,Democrat
1982-01-01,LA,David C. Treen,Republican
1982-01-01,ME,Joseph Edward Brennan,Democrat
1982-01-01,MD,Harry Roe Hughes,Democrat
1982-01-01,MA,Edward Joseph King,Democrat
1982-01-01,MI,William Grawn Milliken,Republican
1982-01-01,MN,Albert Harold Quie,Republican
1982-01-01,MS,William Forrest Winter,Democrat
1982-01-01,MO,Christopher S. Bond,Republican
1982-01-01,MT,Ted Schwinden,Democrat
1982-01-01,NE,Charles Thone,Republican
1982-01-01,NV,Robert Frank List,Republican
1982-01-01,NH,Vesta M. Roy,Republican
1982-01-01,NJ,Thomas H. Kean,Republican
1982-01-01,NM,Bruce King,Democrat
1982-01-01,NY,Hugh Leo Carey,Democrat
1982-01-01,NC,James B. Hunt,Democrat
1982-01-01,ND,Allen Ingvar Olson,Republican
1982-01-01,OH,James Allen Rhodes,Republican
1982-01-01,OK,George Patterson Nigh,Democrat
1982-01-01,OR,Victor G. Atiyeh,Republican
1982-01-01,PA,Dick Thornburgh,Republican
1982-01-01,RI,J. Joseph Garrahy,Democrat
1982-01-01,SC,Richard Wilson Riley,Democrat
1982-01-01,SD,William J. Janklow,Republican
1982-01-01,TN,Lamar Alexander,Republican
1982-01-01,TX,"William P. Clements, Jr.",Republican
1982-01-01,UT,Scott M. Matheson,Democrat
1982-01-01,VT,Richard A. Snelling,Republican
1982-01-01,VA,Charles Spittal Robb,Democrat
1982-01-01,WA,John Dennis Spellman,Republican
1982-01-01,WV,John Davison Rockefeller,Democrat
1982-01-01,WI,Lee Sherman Dreyfus,Republican
1982-01-01,WY,Edward Herschler,Democrat
1981-01-01,AL,Forrest Hood James,Democrat
1981-01-01,AK,Jay S. Hammond,Republican
1981-01-01,AZ,Bruce Edward Babbitt,Democrat
1981-01-01,AR,Frank D. White,Republican
1981-01-01,CA,Edmund G. Brown,Democrat
1981-01-01,CO,Richard D. Lamm,Democrat
1981-01-01,CT,William A. O'Neill,Democrat
1981-01-01,DE,Pierre Samuel Du Pont,Republican
1981-01-01,FL,Daniel Robert Graham,Democrat
1981-01-01,GA,George Dekle Busbee,Democrat
1981-01-01,HI,George Ryoichi Ariyoshi,Democrat
1981-01-01,ID,John Victor Evans,Democrat
1981-01-01,IL,James Robert Thompson,Republican
1981-01-01,IN,Robert D. Orr,Republican
1981-01-01,IA,Robert D. Ray,Republican
1981-01-01,KS,John Carlin,Democrat
1981-01-01,KY,John Y. Brown,Democrat
1981-01-01,LA,David C. Treen,Republican
1981-01-01,ME,Joseph Edward Brennan,Democrat
1981-01-01,MD,Harry Roe Hughes,Democrat
1981-01-01,MA,Edward Joseph King,Democrat
1981-01-01,MI,William Grawn Milliken,Republican
1981-01-01,MN,Albert Harold Quie,Republican
1981-01-01,MS,William Forrest Winter,Democrat
1981-01-01,MO,Christopher S. Bond,Republican
1981-01-01,MT,Ted Schwinden,Democrat
1981-01-01,NE,Charles Thone,Republican
1981-01-01,NV,Robert Frank List,Republican
1981-01-01,NH,Hugh J. Gallen,Democrat
1981-01-01,NJ,Brendan Thomas Byrne,Democrat
1981-01-01,NM,Bruce King,Democrat
1981-01-01,NY,Hugh Leo Carey,Democrat
1981-01-01,NC,James B. Hunt,Democrat
1981-01-01,ND,Allen Ingvar Olson,Republican
1981-01-01,OH,James Allen Rhodes,Republican
1981-01-01,OK,George Patterson Nigh,Democrat
1981-01-01,OR,Victor G. Atiyeh,Republican
1981-01-01,PA,Dick Thornburgh,Republican
1981-01-01,RI,J. Joseph Garrahy,Democrat
1981-01-01,SC,Richard Wilson Riley,Democrat
1981-01-01,SD,William J. Janklow,Republican
1981-01-01,TN,Lamar Alexander,Republican
1981-01-01,TX,"William P. Clements, Jr.",Republican
1981-01-01,UT,Scott M. Matheson,Democrat
1981-01-01,VT,Richard A. Snelling,Republican
1981-01-01,VA,John Nichols Dalton,Republican
1981-01-01,WA,John Dennis Spellman,Republican
1981-01-01,WV,John Davison Rockefeller,Democrat
1981-01-01,WI,Lee Sherman Dreyfus,Republican
1981-01-01,WY,Edward Herschler,Democrat
1980-01-01,AL,Forrest Hood James,Democrat
1980-01-01,AK,Jay S. Hammond,Republican
1980-01-01,AZ,Bruce Edward Babbitt,Democrat
1980-01-01,AR,William Jefferson Clinton,Democrat
1980-01-01,CA,Edmund G. Brown,Democrat
1980-01-01,CO,Richard D. Lamm,Democrat
1980-01-01,CT,William A. O'Neill,Democrat
1980-01-01,DE,Pierre Samuel Du Pont,Republican
1980-01-01,FL,Daniel Robert Graham,Democrat
1980-01-01,GA,George Dekle Busbee,Democrat
1980-01-01,HI,George Ryoichi Ariyoshi,Democrat
1980-01-01,ID,John Victor Evans,Democrat
1980-01-01,IL,James Robert Thompson,Republican
1980-01-01,IN,Otis Ray Bowen,Republican
1980-01-01,IA,Robert D. Ray,Republican
1980-01-01,KS,John Carlin,Democrat
1980-01-01,KY,John Y. Brown,Democrat
1980-01-01,LA,David C. Treen,Republican
1980-01-01,ME,Joseph Edward Brennan,Democrat
1980-01-01,MD,Harry Roe Hughes,Democrat
1980-01-01,MA,Edward Joseph King,Democrat
1980-01-01,MI,William Grawn Milliken,Republican
1980-01-01,MN,Albert Harold Quie,Republican
1980-01-01,MS,William Forrest Winter,Democrat
1980-01-01,MO,Joseph P. Teasdale,Democrat
1980-01-01,MT,Thomas Lee Judge,Democrat
1980-01-01,NE,Charles Thone,Republican
1980-01-01,NV,Robert Frank List,Republican
1980-01-01,NH,Hugh J. Gallen,Democrat
1980-01-01,NJ,Brendan Thomas Byrne,Democrat
1980-01-01,NM,Bruce King,Democrat
1980-01-01,NY,Hugh Leo Carey,Democrat
1980-01-01,NC,James B. Hunt,Democrat
1980-01-01,ND,Arthur Albert Link,Democrat
1980-01-01,OH,James Allen Rhodes,Republican
1980-01-01,OK,George Patterson Nigh,Democrat
1980-01-01,OR,Victor G. Atiyeh,Republican
1980-01-01,PA,Dick Thornburgh,Republican
1980-01-01,RI,J. Joseph Garrahy,Democrat
1980-01-01,SC,Richard Wilson Riley,Democrat
1980-01-01,SD,William J. Janklow,Republican
1980-01-01,TN,Lamar Alexander,Republican
1980-01-01,TX,"William P. Clements, Jr.",Republican
1980-01-01,UT,Scott M. Matheson,Democrat
1980-01-01,VT,Richard A. Snelling,Republican
1980-01-01,VA,John Nichols Dalton,Republican
1980-01-01,WA,Dixy Lee Ray,Democrat
1980-01-01,WV,John Davison Rockefeller,Democrat
1980-01-01,WI,Lee Sherman Dreyfus,Republican
1980-01-01,WY,Edward Herschler,Democrat
1979-01-01,AL,Forrest Hood James,Democrat
1979-01-01,AK,Jay S. Hammond,Republican
1979-01-01,AZ,Bruce Edward Babbitt,Democrat
1979-01-01,AR,William Jefferson Clinton,Democrat
1979-01-01,CA,Edmund G. Brown,Democrat
1979-01-01,CO,Richard D. Lamm,Democrat
1979-01-01,CT,Ella T. Grasso,Democrat
1979-01-01,DE,Pierre Samuel Du Pont,Republican
1979-01-01,FL,Daniel Robert Graham,Democrat
1979-01-01,GA,George Dekle Busbee,Democrat
1979-01-01,HI,George Ryoichi Ariyoshi,Democrat
1979-01-01,ID,John Victor Evans,Democrat
1979-01-01,IL,James Robert Thompson,Republican
1979-01-01,IN,Otis Ray Bowen,Republican
1979-01-01,IA,Robert D. Ray,Republican
1979-01-01,KS,John Carlin,Democrat
1979-01-01,KY,John Y. Brown,Democrat
1979-01-01,LA,Edwin Washington Edwards,Democrat
1979-01-01,ME,Joseph Edward Brennan,Democrat
1979-01-01,MD,Harry Roe Hughes,Democrat
1979-01-01,MA,Edward Joseph King,Democrat
1979-01-01,MI,William Grawn Milliken,Republican
1979-01-01,MN,Albert Harold Quie,Republican
1979-01-01,MS,Charles Clifton Finch,Democrat
1979-01-01,MO,Joseph P. Teasdale,Democrat
1979-01-01,MT,Thomas Lee Judge,Democrat
1979-01-01,NE,Charles Thone,Republican
1979-01-01,NV,Robert Frank List,Republican
1979-01-01,NH,Hugh J. Gallen,Democrat
1979-01-01,NJ,Brendan Thomas Byrne,Democrat
1979-01-01,NM,Bruce King,Democrat
1979-01-01,NY,Hugh Leo Carey,Democrat
1979-01-01,NC,James B. Hunt,Democrat
1979-01-01,ND,Arthur Albert Link,Democrat
1979-01-01,OH,James Allen Rhodes,Republican
1979-01-01,OK,George Patterson Nigh,Democrat
1979-01-01,OR,Victor G. Atiyeh,Republican
1979-01-01,PA,Dick Thornburgh,Republican
1979-01-01,RI,J. Joseph Garrahy,Democrat
1979-01-01,SC,Richard Wilson Riley,Democrat
1979-01-01,SD,William J. Janklow,Republican
1979-01-01,TN,Lamar Alexander,Republican
1979-01-01,TX,"William P. Clements, Jr.",Republican
1979-01-01,UT,Scott M. Matheson,Democrat
1979-01-01,VT,Richard A. Snelling,Republican
1979-01-01,VA,John Nichols Dalton,Republican
1979-01-01,WA,Dixy Lee Ray,Democrat
1979-01-01,WV,John Davison Rockefeller,Democrat
1979-01-01,WI,Lee Sherman Dreyfus,Republican
1979-01-01,WY,Edward Herschler,Democrat
1978-01-01,AL,George Corley Wallace,Democrat
1978-01-01,AK,Jay S. Hammond,Republican
1978-01-01,AZ,Bruce Edward Babbitt,Democrat
1978-01-01,AR,David Hampton Pryor,Democrat
1978-01-01,CA,Edmund G. Brown,Democrat
1978-01-01,CO,Richard D. Lamm,Democrat
1978-01-01,CT,Ella T. Grasso,Democrat
1978-01-01,DE,Pierre Samuel Du Pont,Republican
1978-01-01,FL,Reubin O'Donovan Askew,Democrat
1978-01-01,GA,George Dekle Busbee,Democrat
1978-01-01,HI,George Ryoichi Ariyoshi,Democrat
1978-01-01,ID,John Victor Evans,Democrat
1978-01-01,IL,James Robert Thompson,Republican
1978-01-01,IN,Otis Ray Bowen,Republican
1978-01-01,IA,Robert D. Ray,Republican
1978-01-01,KS,Robert F. Bennett,Republican
1978-01-01,KY,Julian Morton Carroll,Democrat
1978-01-01,LA,Edwin Washington Edwards,Democrat
1978-01-01,ME,James Bernard Longley,Independent
1978-01-01,MD,Blair Lee,Democrat
1978-01-01,MA,Michael Stanley Dukakis,Democrat
1978-01-01,MI,William Grawn Milliken,Republican
1978-01-01,MN,Rudolph George Perpich,Democrat
1978-01-01,MS,Charles Clifton Finch,Democrat
1978-01-01,MO,Joseph P. Teasdale,Democrat
1978-01-01,MT,Thomas Lee Judge,Democrat
1978-01-01,NE,John James Exon,Democrat
1978-01-01,NV,Mike O'Callaghan,Democrat
1978-01-01,NH,Meldrim Thomson,Republican
1978-01-01,NJ,Brendan Thomas Byrne,Democrat
1978-01-01,NM,Jerry Apodaca,Democrat
1978-01-01,NY,Hugh Leo Carey,Democrat
1978-01-01,NC,James B. Hunt,Democrat
1978-01-01,ND,Arthur Albert Link,Democrat
1978-01-01,OH,James Allen Rhodes,Republican
1978-01-01,OK,David Lyle Boren,Democrat
1978-01-01,OR,Robert William Straub,Democrat
1978-01-01,PA,Milton Jerrold Shapp,Democrat
1978-01-01,RI,J. Joseph Garrahy,Democrat
1978-01-01,SC,James Burrows Edwards,Republican
1978-01-01,SD,Harvey Wollman,Democrat
1978-01-01,TN,Ray Blanton,Democrat
1978-01-01,TX,Dolph Briscoe,Democrat
1978-01-01,UT,Scott M. Matheson,Democrat
1978-01-01,VT,Richard A. Snelling,Republican
1978-01-01,VA,John Nichols Dalton,Republican
1978-01-01,WA,Dixy Lee Ray,Democrat
