year,state,index_total,index_per100k,violent_total,violent_per100k,property_total,property_per100k,murder_total,murder_per100k,forcible_rape_total,forcible_rape_per100k,robbery_total,robbery_per100k,aggravated_assault_total,aggravated_assault_per100k,burglary_total,burglary_per100k,larceny_theft_total,larceny_theft_per100k,vehicle_theft_total,vehicle_theft_per100k
1960-01-01,AL,39920,1222,6097,186.6,33823,1035.4,406,12.4,281,86,898,27.5,4512,138.1,11626,355.9,19344,592.1,2853,87.3
1961-01-01,AL,38105,1154,5564,168.5,32541,985.5,427,12.9,252,76,630,19.1,4255,128.9,11205,339.3,18801,569.4,2535,76.8
1962-01-01,AL,41112,1224.3,5283,157.3,35829,1067,316,94,218,65,754,22.5,3995,119,11722,349.1,21306,634.5,2801,83.4
1963-01-01,AL,44636,1333.6,6115,182.7,38521,1150.9,340,10.2,192,57,828,24.7,4755,142.1,12614,376.9,22874,683.4,3033,90.6
1964-01-01,AL,53550,1571.8,7260,213.1,46290,1358.7,316,93,397,11.7,992,29.1,5555,163,15898,466.6,26713,784.1,3679,108
1965-01-01,AL,55131,1592.5,6916,199.8,48215,1392.7,395,11.4,367,10.6,992,28.7,5162,149.1,16398,473.7,28115,812.1,3702,106.9
1966-01-01,AL,61838,1758.3,8098,230.3,53740,1528,384,10.9,341,97,1124,32,6249,177.7,18551,527.5,30583,869.6,4606,131
1967-01-01,AL,65527,1851,8448,238.6,57079,1612.4,415,11.7,371,10.5,1167,33,6495,183.5,20227,571.4,31682,895,5170,146
1968-01-01,AL,71285,1999,8288,232.4,62997,1766.6,421,11.8,396,11.1,1462,41,6009,168.5,22403,628.2,34508,967.7,6086,170.7
1969-01-01,AL,75090,2126.6,8842,250.4,66248,1876.2,485,13.7,494,14,1448,41,6415,181.7,23559,667.2,36644,1037.8,6045,171.2
1970-01-01,AL,85399,2479.5,10185,295.7,75214,2183.8,404,11.7,637,18.5,1731,50.3,7413,215.2,26739,776.4,40779,1184,7696,223.5
1971-01-01,AL,86919,2498.4,10835,311.4,76084,2187,524,15.1,661,19,2005,57.6,7645,219.7,27547,791.8,40841,1173.9,7696,221.2
1972-01-01,AL,84047,2394.5,10994,313.2,73053,2081.3,496,14.1,660,18.8,2407,68.6,7431,211.7,27714,789.6,38493,1096.7,6846,195
1973-01-01,AL,91389,2582.3,12390,350.1,78999,2232.2,468,13.2,751,21.2,2809,79.4,8362,236.3,31754,897.3,39206,1107.8,8039,227.2
1974-01-01,AL,107314,3000.1,13338,372.9,93976,2627.2,536,15,811,22.7,3562,99.6,8429,235.6,37841,1057.9,46813,1308.7,9322,260.6
1975-01-01,AL,125497,3472.5,14201,392.9,111296,3079.6,577,16,738,20.4,4446,123,8440,233.5,42059,1163.8,59470,1645.5,9767,270.3
1976-01-01,AL,139573,3808.3,14248,388.8,125325,3419.5,553,15.1,794,21.7,3520,96,9381,256,42879,1170,72832,1987.2,9614,262.3
1977-01-01,AL,136995,3712.6,15293,414.4,121702,3298.2,524,14.2,929,25.2,3572,96.8,10268,278.3,41901,1135.5,69442,1881.9,10359,280.7
1978-01-01,AL,147389,3938.8,15682,419.1,131707,3519.7,499,13.3,954,25.5,3708,99.1,10521,281.2,46001,1229.3,74387,1987.9,11319,302.5
1979-01-01,AL,159950,4243.8,15578,413.3,144372,3830.5,496,13.2,1037,27.5,4127,109.5,9918,263.1,48517,1287.3,83791,2223.2,12064,320.1
1980-01-01,AL,190511,4933.6,17320,448.5,173191,4485.1,509,13.2,1158,30,5102,132.1,10551,273.2,58952,1526.7,102029,2642.2,12210,316.2
1981-01-01,AL,191834,4898.7,18423,470.5,173411,4428.3,465,11.9,1021,26.1,4952,126.5,11985,306.1,56811,1450.7,105471,2693.3,11129,284.2
1982-01-01,AL,182701,4633.6,17653,447.7,165048,4185.8,417,10.6,1026,26,4417,112,11793,299.1,49531,1256.2,104740,2656.4,10777,273.3
1983-01-01,AL,162361,4101.1,16471,416,145890,3685,364,92,931,23.5,3895,98.4,11281,284.9,42485,1073.1,94279,2381.4,9126,230.5
1984-01-01,AL,155691,3902,17204,431.2,138487,3470.9,374,94,1002,25.1,3833,96.1,11995,300.6,39970,1001.8,89198,2235.5,9319,233.6
1985-01-01,AL,158513,3942.1,18398,457.5,140115,3484.6,396,98,1079,26.8,4237,105.4,12686,315.5,41612,1034.9,88108,2191.2,10395,258.5
1986-01-01,AL,173807,4288.4,22616,558,151191,3730.3,409,10.1,1150,28.4,4523,111.6,16534,407.9,46974,1159,93396,2304.4,10821,267
1987-01-01,AL,181751,4451.4,22833,559.2,158918,3892.2,380,93,1137,27.8,4581,112.2,16735,409.9,48927,1198.3,99260,2431.1,10731,262.8
1988-01-01,AL,188261,4561.7,23052,558.6,165209,4003.1,408,99,1228,29.8,4860,117.8,16556,401.2,50920,1233.8,103282,2502.6,11007,266.7
1989-01-01,AL,190573,4627.8,24329,590.8,166244,4037,421,10.2,1276,31,5515,133.9,17117,415.7,47224,1146.8,106771,2592.8,12249,297.5
1990-01-01,AL,198604,4915.2,28630,708.6,169974,4206.7,467,11.6,1319,32.6,5805,143.7,21039,520.7,44585,1103.4,111336,2755.4,14053,347.8
1991-01-01,AL,219400,5365.6,34518,844.2,184882,4521.4,469,11.5,1455,35.6,6246,152.8,26348,644.4,51873,1268.6,118151,2889.5,14858,363.4
1992-01-01,AL,217889,5268.1,36052,871.7,181837,4396.4,455,11,1704,41.2,6819,164.9,27074,654.6,49053,1186,117801,2848.2,14983,362.3
1993-01-01,AL,204274,4878.8,32676,780.4,171598,4098.4,484,11.6,1471,35.1,6677,159.5,24044,574.3,45578,1088.6,111878,2672,14142,337.8
1994-01-01,AL,206859,4903,28844,683.7,178015,4219.4,501,11.9,1487,35.2,7223,171.2,19633,465.3,44064,1044.4,119951,2843.1,14000,331.8
1995-01-01,AL,206188,4848.1,26894,632.4,179294,4215.7,475,11.2,1350,31.7,7900,185.8,17169,403.7,43586,1024.8,120967,2844.3,14741,346.6
1996-01-01,AL,205962,4820.1,24159,565.4,181803,4254.7,444,10.4,1397,32.7,7124,166.7,15194,355.6,42821,1002.1,123350,2886.7,15632,365.8
1997-01-01,AL,211188,4889.7,24379,564.5,186809,4325.3,426,99,1396,32.3,6931,160.5,15626,361.8,43786,1013.8,127616,2954.8,15407,356.7
1998-01-01,AL,200065,4597.1,22286,512.1,177779,4085,354,81,1443,33.2,5698,130.9,14791,339.9,41965,964.3,120943,2779,14871,341.7
1999-01-01,AL,192819,4412.5,21421,490.2,171398,3922.3,345,79,1513,34.6,5297,121.2,14266,326.5,38648,884.4,119616,2737.3,13134,300.6
2000-01-01,AL,202159,4545.9,21620,486.2,180539,4059.7,329,74,1482,33.3,5702,128.2,14107,317.2,40331,906.9,127399,2864.8,12809,288
2001-01-01,AL,192835,4315,19582,NA,173253,3876.8,379,85,1369,30.6,5584,125,12250,274.1,40642,909.4,119992,2685,12619,282.4
2002-01-01,AL,200331,4472.8,19931,445,180400,4027.8,303,68,1664,37.2,5962,133.1,12002,268,42578,950.6,123932,2767,13890,310.1
2003-01-01,AL,201572,4475.6,19331,429.2,182241,4046.4,299,66,1656,36.8,6038,134.1,11338,251.7,43245,960.2,124039,2754.1,14957,332.1
2004-01-01,AL,201664,4456.3,19324,427,182340,4029.3,254,56,1742,38.5,6042,133.5,11286,249.4,44666,987,123650,2732.4,14024,309.9
2005-01-01,AL,197071,4323.8,19678,431.7,177393,3892.1,374,82,1564,34.5,6447,141.4,11293,248.3,43473,955.8,120780,2650,13140,288.3
2006-01-01,AL,200578,4361.3,19557,425.2,181021,3936.1,382,83,1649,35.9,7059,153.5,10467,227.6,44571,969.1,121610,2644.3,14840,322.7
2007-01-01,AL,204530,4419.6,20732,448,183798,3971.6,412,89,1545,33.4,7398,159.9,11377,245.8,45331,979.5,124237,2684.6,14230,307.5
2008-01-01,AL,211401,4519.6,21109,451.3,190292,4068.3,357,76,1618,34.6,7344,157,11790,252.1,50379,1077.1,126461,2703.6,13452,287.6
2009-01-01,AL,199201,4230.5,21194,450.1,178007,3780.4,322,68,1504,31.9,6265,133.1,13103,278.3,48844,1037.3,118072,2507.5,11091,235.5
2010-01-01,AL,187191,3911.7,18363,383.7,168828,3528,275,57,1355,28.3,4864,101.6,11869,248,42484,887.8,115564,2414.9,10780,225.3
2011-01-01,AL,193358,4025.2,20166,419.8,173192,3605.4,299,62,1370,28.5,4906,102.1,13591,282.9,51119,1064.2,111411,2319.3,10662,222
2012-01-01,AL,190571,3955.8,21693,450.3,168878,3505.5,342,71,1296,26.9,5020,104.2,15035,312.1,47481,985.6,111523,2314.9,9874,205
2013-01-01,AL,182669,3778.9,20834,431,161835,3347.9,346,72,1449,30,4645,96.1,13788,285.2,42410,877.3,108862,2252,10563,218.5
2014-01-01,AL,174814,3607.1,20727,427.7,154087,3179.4,276,57,1425,29.4,4702,97,13744,283.6,39723,819.6,104223,2150.5,10141,209.2
2015-01-01,AL,167742,3455.9,22957,473,144785,2982.9,348,72,1449,29.9,4612,95,15960,328.8,35265,726.5,99182,2043.4,10338,213
2016-01-01,AL,169137,3480,25878,532.4,143259,2947.4,407,84,1915,39.4,4687,96.4,18869,388.2,34045,700.4,97498,2005.9,11716,241
2017-01-01,AL,169243,3471.5,25469,522.4,143774,2949.1,419,86,2001,41,4233,86.8,18816,386,31270,641.4,99707,2045.2,12797,262.5
2018-01-01,AL,163099,3336.8,25399,519.6,137700,2817.2,383,78,1996,40.8,4076,83.4,18944,387.6,28841,590.1,95747,1958.9,13112,268.3
1960-01-01,AK,3730,1649.2,236,104.3,3494,1544.9,23,10.2,47,20.8,64,28.3,102,45.1,751,332.1,2195,970.5,548,242.3
1961-01-01,AK,3813,1629.5,208,88.9,3605,1540.6,27,11.5,31,13.2,29,12.4,121,51.7,891,380.8,2223,950,491,209.8
1962-01-01,AK,4074,1656.1,225,91.5,3849,1564.6,11,45,46,18.7,34,13.8,134,54.5,865,351.6,2424,985.4,560,227.6
1963-01-01,AK,5115,2062.5,272,109.7,4843,1952.8,16,65,37,14.9,55,22.2,164,66.1,946,381.5,3010,1213.7,887,357.7
1964-01-01,AK,5415,2166,375,150,5040,2016,26,10.4,56,22.4,53,21.2,240,96,1109,443.6,3046,1218.4,885,354
1965-01-01,AK,6587,2603.6,377,149,6210,2454.5,16,63,45,17.8,101,39.9,215,85,1403,554.5,3777,1492.9,1030,407.1
1966-01-01,AK,7577,2785.7,409,150.4,7168,2635.3,35,12.9,53,19.5,98,36,223,82,1613,593,4354,1600.7,1201,441.5
1967-01-01,AK,7846,2884.6,437,160.7,7409,2723.9,26,96,48,17.6,96,35.3,267,98.2,1873,688.6,4436,1630.9,1100,404.4
1968-01-01,AK,9199,3320.9,486,175.5,8713,3145.5,29,10.5,60,21.7,146,52.7,251,90.6,2070,747.3,5307,1915.9,1336,482.3
1969-01-01,AK,10942,3880.1,624,221.3,10318,3658.9,30,10.6,83,29.4,190,67.4,321,113.8,2455,870.6,6195,2196.8,1668,591.5
1970-01-01,AK,11488,3801.8,840,278,10648,3523.8,37,12.2,79,26.1,217,71.8,507,167.8,2387,789.9,6595,2182.5,1666,551.3
1971-01-01,AK,13035,4164.5,1112,355.3,11923,3809.3,42,13.4,136,43.5,210,67.1,724,231.3,2656,848.6,7631,2438,1636,522.7
1972-01-01,AK,14555,4478.5,1204,370.5,13351,4108,31,95,136,41.8,216,66.5,821,252.6,3155,970.8,8577,2639.1,1619,498.2
1973-01-01,AK,16313,4943.3,1269,384.5,15044,4558.8,33,10,147,44.5,221,67,868,263,3852,1167.3,9456,2865.5,1736,526.1
1974-01-01,AK,17658,5239.8,1527,453.1,16131,4786.6,46,13.6,166,49.3,298,88.4,1017,301.8,3932,1166.8,10016,2972.1,2183,647.8
1975-01-01,AK,21812,6196.6,1900,539.8,19912,5656.8,43,12.2,157,44.6,456,129.5,1244,353.4,4275,1214.5,12399,3522.4,3238,919.9
1976-01-01,AK,23763,6220.7,2063,540.1,21700,5680.6,43,11.3,179,46.9,477,124.9,1364,357.1,4653,1218.1,13969,3656.8,3078,805.8
1977-01-01,AK,24005,5898,1804,443.2,22201,5454.8,44,10.8,210,51.6,394,96.8,1156,284,5420,1331.7,13715,3369.8,3066,753.3
1978-01-01,AK,24366,6046.2,1781,441.9,22585,5604.2,52,12.9,224,55.6,368,91.3,1137,282.1,5397,1339.2,14522,3603.5,2666,661.5
1979-01-01,AK,25187,6203.7,1994,491.1,23193,5712.6,54,13.3,292,71.9,445,109.6,1203,296.3,5616,1383.3,15076,3713.3,2501,616
1980-01-01,AK,24849,5645.7,1919,436,22930,5209.7,39,89,250,56.8,360,81.8,1270,288.5,5545,1259.8,14916,3388.9,2469,561
1981-01-01,AK,27171,6594.9,2537,615.8,24634,5979.1,60,14.6,421,102.2,472,114.6,1584,384.5,5479,1329.9,16310,3958.7,2845,690.5
1982-01-01,AK,27211,6212.6,2732,623.7,24479,5588.8,81,18.5,374,85.4,586,133.8,1691,386.1,5204,1188.1,16672,3806.4,2603,594.3
1983-01-01,AK,28829,6018.6,2940,613.8,25889,5404.8,66,13.8,486,101.5,465,97.1,1923,401.5,5720,1194.2,17085,3566.8,3084,643.8
1984-01-01,AK,30576,6115.2,3108,621.6,27468,5493.6,58,11.6,458,91.6,547,109.4,2045,409,6184,1236.8,18140,3628,3144,628.8
1985-01-01,AK,30619,5877,3031,581.8,27588,5295.2,51,98,402,77.2,484,92.9,2094,401.9,6209,1191.7,18220,3497.1,3159,606.3
1986-01-01,AK,33353,6245.9,3046,570.4,30307,5675.5,46,86,388,72.7,470,88,2142,401.1,6204,1161.8,20879,3909.9,3224,603.7
1987-01-01,AK,28232,5377.5,2391,455.4,25841,4922.1,53,10.1,341,65,384,73.1,1613,307.2,5093,970.1,18195,3465.7,2553,486.3
1988-01-01,AK,25248,4921.6,2682,522.8,22566,4398.8,29,57,296,57.7,374,72.9,1983,386.5,4321,842.3,15911,3101.6,2334,455
1989-01-01,AK,25190,4779.9,2623,497.7,22567,4282.2,42,80,279,52.9,356,67.6,1946,369.3,4358,826.9,15811,3000.2,2398,455
1990-01-01,AK,28342,5152.7,2885,524.5,25457,4628.2,41,75,401,72.9,422,76.7,2021,367.4,4919,894.3,17428,3168.5,3110,565.4
1991-01-01,AK,32499,5701.6,3499,613.9,29000,5087.7,42,74,523,91.8,645,113.2,2289,401.6,5582,979.3,20375,3574.6,3043,533.9
1992-01-01,AK,32693,5569.5,3877,660.5,28816,4909,44,75,579,98.6,640,109,2614,445.3,5170,880.7,20728,3531.2,2918,497.1
1993-01-01,AK,33352,5567.9,4557,760.8,28795,4807.2,54,90,502,83.8,733,122.4,3268,545.6,4893,816.9,21201,3539.4,2701,450.9
1994-01-01,AK,34591,5708.1,4644,766.3,29947,4941.7,38,63,418,69,886,146.2,3302,544.9,4848,800,21824,3601.3,3275,540.4
1995-01-01,AK,34753,5753.8,4656,770.9,30097,4982.9,55,91,485,80.3,937,155.1,3179,526.3,5055,836.9,21891,3624.3,3151,521.7
1996-01-01,AK,33084,5450.4,4417,727.7,28667,4722.7,45,74,398,65.6,710,117,3264,537.7,5118,843.2,20557,3386.7,2992,492.9
1997-01-01,AK,32110,5272.6,4270,701.1,27840,4571.4,54,89,403,66.2,648,106.4,3165,519.7,4276,702.1,20780,3412.2,2784,457.1
1998-01-01,AK,29331,4777,4015,653.9,25316,4123.1,41,67,421,68.6,532,86.6,3021,492,4098,667.4,18611,3031.1,2607,424.6
1999-01-01,AK,27007,4359.5,3908,630.8,23099,3728.7,52,84,517,83.5,566,91.4,2773,447.6,3787,611.3,16654,2688.3,2658,429.1
2000-01-01,AK,26641,4249.4,3554,566.9,23087,3682.5,27,43,497,70.3,490,78.2,2540,405.1,3899,621.9,16838,2685.8,2350,374.8
2001-01-01,AK,26895,4244.6,3735,589.5,23160,3655.1,39,62,501,79.1,514,81.1,2681,423.1,3847,607.1,16695,2634.8,2618,413.2
2002-01-01,AK,28133,4325.1,4015,565.4,24118,3759.7,33,51,511,79.7,489,76.2,2594,404.4,3908,609.2,17739,2765.3,2471,385.2
2003-01-01,AK,28263,4359.6,3877,598,24386,3761.6,39,60,605,93.3,446,68.8,2787,429.9,3874,597.6,18051,2784.4,2461,379.6
2004-01-01,AK,26331,4003.2,4159,632.3,22172,3370.9,37,56,558,84.8,447,68,3117,473.9,3773,573.6,16159,2456.7,2240,340.6
2005-01-01,AK,28170,4226.4,4194,632.3,23975,3612.5,32,48,538,81.1,537,81,3087,465.4,4131,622.8,17249,2600.7,2595,391.3
2006-01-01,AK,28765,4292.9,4610,688,24155,3604.9,36,54,509,76,605,90.3,3406,516.4,4136,617.3,17490,2610.2,2529,377.4
2007-01-01,AK,27617,4040.7,4519,661.2,23098,3379.5,44,64,529,77.4,583,85.3,3363,492,3682,538.7,16998,2247,2418,353.8
2008-01-01,AK,24576,3571.4,4479,650.9,20097,2920.5,27,39,445,64.7,644,93.6,3363,488.7,3232,469.7,15235,2214,1630,236.9
2009-01-01,AK,24952,3573.8,4424,633.4,20538,2940.4,22,31,513,73.4,654,93.6,3235,463.2,3600,515.4,15251,2183.5,1687,241.5
2010-01-01,AK,24796,3472.1,4537,635.3,20259,2836.8,31,43,533,74.6,594,83.2,3379,473.2,3105,434.8,15535,2175.3,1619,226.7
2011-01-01,AK,23510,3247.9,4416,610.1,19094,2637.8,30,41,436,60.2,576,79.6,3374,466.1,2852,394,14854,2052.1,1388,191.7
2012-01-01,AK,24449,3347.7,4412,604.1,20037,2743.6,30,41,583,79.8,630,86.3,3169,433.9,2950,403.9,15565,2131.3,1522,208.4
2013-01-01,AK,25920,3515.7,4709,638.7,21211,2877,34,46,657,89.1,623,84.5,3127,424.1,2917,395.7,16599,2251.4,1695,229.9
2014-01-01,AK,25018,3394.4,4684,635.5,20334,2758.9,41,56,553,75,629,85.3,3243,440,3150,427.4,15445,2095.5,1739,235.9
2015-01-01,AK,26197,3551.2,5391,730.8,20806,2820.4,59,80,648,87.8,761,103.2,3671,497.6,3511,475.9,15249,2067.1,2046,277.3
2016-01-01,AK,30842,4159.3,5966,804.6,24876,3354.7,52,70,1053,142,850,114.6,4011,540.9,4053,546.6,17766,2395.9,3057,412.3
2017-01-01,AK,32337,4371.1,6133,829,26204,3542.1,62,84,863,116.7,951,128.5,4257,575.4,4171,563.8,17775,2402.7,4258,575.6
2018-01-01,AK,30865,4185.5,6526,885,24339,3300.5,47,64,1192,161.6,896,121.5,4391,595.4,3979,539.6,16364,2219,3996,541.9
1960-01-01,AZ,39243,3013.7,2704,207.7,36539,2806,78,60,209,16.1,706,54.2,1711,131.4,8926,685.5,23207,1782.2,4406,338.4
1961-01-01,AZ,43592,3133.9,2288,164.5,41304,2969.4,84,60,200,14.4,786,56.5,1218,87.6,10262,737.7,26099,1876.3,4943,355.4
1962-01-01,AZ,48304,3201.1,2610,173,45694,3028.1,86,57,198,13.1,851,56.4,1475,97.7,11693,774.9,28605,1895.6,5396,357.6
1963-01-01,AZ,52921,3394.5,3027,194.2,49894,3200.4,93,60,222,14.2,897,57.5,1815,116.4,12944,830.3,31213,2002.1,5737,368
1964-01-01,AZ,57632,3645.3,3368,213,54264,3432.3,83,52,259,16.4,967,61.2,2059,130.2,13726,868.2,35190,2225.8,5348,338.3
1965-01-01,AZ,57049,3547.8,3092,192.3,53957,3355.5,80,50,286,17.8,895,55.7,1831,113.9,13129,816.5,36208,2251.7,4620,287.3
1966-01-01,AZ,66917,4135.8,3272,202.2,63645,3933.6,98,61,296,18.3,898,55.5,1980,122.4,15066,931.1,42555,2630.1,6024,372.3
1967-01-01,AZ,79052,4837.9,3892,238.2,75160,4599.8,91,56,273,16.7,1224,74.9,2304,141,18583,1137.3,49923,3055.3,6654,407.2
1968-01-01,AZ,81403,4874.4,4402,263.6,77001,4610.8,105,63,313,18.7,1448,86.7,2536,151.9,19496,1167.4,50471,3022.2,7034,421.2
1969-01-01,AZ,88452,5224.6,5742,339.2,82710,4885.4,102,60,390,23,1692,99.9,3558,210.2,22053,1302.6,53231,3144.2,7426,438.6
1970-01-01,AZ,104829,5914.2,6564,370.3,98265,5543.9,168,95,478,27,2130,120.2,3788,213.7,26464,1493,62918,3549.7,8883,501.2
1971-01-01,AZ,109858,5941.5,7407,400.6,102451,5540.9,124,67,553,29.9,2095,113.3,4635,250.7,26549,1435.9,67566,3654.2,8336,450.8
1972-01-01,AZ,115402,5933.3,8731,448.9,106671,5484.4,142,73,650,33.4,2350,120.8,5589,287.4,31429,1615.9,66883,3438.7,8359,429.8
1973-01-01,AZ,137966,6703.9,9877,479.9,128089,6224,167,81,637,31,3031,147.3,6042,293.6,40301,1958.3,76560,3720.1,11228,545.6
1974-01-01,AZ,177013,8221.7,12202,566.7,164811,7654.9,206,96,807,37.5,4396,204.2,6793,315.5,54557,2534,97286,4518.6,12968,602.3
1975-01-01,AZ,185515,8341.5,12184,547.8,173331,7793.7,191,86,789,35.5,3780,170,7424,333.8,56265,2529.9,105588,4747.7,11478,516.1
1976-01-01,AZ,179021,7886.4,10335,455.3,168686,7431.1,177,78,674,29.7,2949,129.9,6535,287.9,53722,2366.6,105389,4642.7,9575,421.8
1977-01-01,AZ,177875,7747.2,11347,494.2,166528,7253,217,95,786,34.2,3173,138.2,7171,312.3,53866,2346.1,102571,4467.4,10091,439.5
1978-01-01,AZ,178994,7603.8,12996,552.1,165998,7051.7,221,94,1040,44.2,3835,162.9,7900,335.6,49023,2082.5,106042,4504.8,10933,464.4
1979-01-01,AZ,192505,7857.3,14528,593,177977,7264.4,219,89,1120,45.7,4305,175.7,8884,362.6,48916,1996.6,116976,4774.5,12085,493.3
1980-01-01,AZ,221866,8170.8,17673,650.9,204193,7519.9,279,10.3,1227,45.2,5258,193.6,10909,401.8,58527,2155.4,132814,4891.2,12852,473.3
1981-01-01,AZ,212657,7613.9,16082,575.8,196575,7038.1,227,81,1064,38.1,4961,177.6,9830,352,57655,2064.3,127469,4563.9,11451,410
1982-01-01,AZ,203946,7131,14785,517,189161,6614,236,83,1100,38.5,4537,158.6,8912,311.6,53861,1883.3,124723,4360.9,10577,369.8
1983-01-01,AZ,189382,6391.6,14642,494.2,174740,5897.4,213,72,1241,41.9,3923,132.4,9265,312.7,49440,1668.6,114721,3871.8,10579,357
1984-01-01,AZ,198426,6499.4,15756,516.1,182670,5983.3,238,78,1316,43.1,4003,131.1,10199,334.1,52327,1714,118604,3884.8,11739,384.5
1985-01-01,AZ,226793,7116.2,19202,602.5,207591,6513.7,254,80,1458,45.7,4670,146.5,12820,402.3,59585,1869.6,135720,4258.6,12286,385.5
1986-01-01,AZ,242850,7321.4,21835,658.3,221015,6663.1,307,93,1425,43,5614,169.2,14489,436.8,63278,1907.7,143845,4336.6,13892,418.8
1987-01-01,AZ,243405,7188.6,20742,612.6,222663,6576,253,75,1396,41.2,4687,138.4,14406,425.5,55059,1626.1,153296,4527.3,14308,422.6
1988-01-01,AZ,258955,7471.3,21147,610.1,237808,6861.2,294,85,1345,38.8,4750,137,14758,425.8,54773,1580.3,167121,4821.7,15914,459.1
1989-01-01,AZ,286604,8059.7,21320,599.6,265284,7460.2,237,67,1286,36.2,4944,139,14853,417.7,59284,1667.2,181574,5106.1,24426,686.9
1990-01-01,AZ,289140,7888.7,23911,652.4,265229,7236.4,284,77,1500,40.9,5897,160.9,16230,442.8,61206,1669.9,172375,4703,31648,863.5
1991-01-01,AZ,277711,7405.6,25152,670.7,252559,6734.9,291,78,1590,42.4,6215,165.7,17056,454.8,60281,1607.5,159987,4266.3,32291,861.1
1992-01-01,AZ,269335,7028.6,25706,670.8,243629,6357.8,312,81,1647,43,5867,153.1,17880,466.6,54095,1411.7,158053,4124.6,31481,821.5
1993-01-01,AZ,292513,7431.7,28142,715,264371,6716.7,339,86,1488,37.8,6412,162.9,19903,505.7,57684,1465.5,172689,4387.4,33998,863.8
1994-01-01,AZ,322926,7924.6,28653,703.1,294273,7221.4,426,10.5,1465,36,6601,162,20161,494.7,60157,1476.2,190649,4678.5,43467,1066.7
1995-01-01,AZ,346450,8213.6,30095,713.5,316355,7500.1,439,10.4,1418,33.6,7329,173.8,20909,495.7,59762,1416.8,207763,4925.6,48830,1157.7
1996-01-01,AZ,312927,7067,27963,631.5,284964,6435.5,377,85,1381,31.2,7429,167.8,18776,424,55630,1256.3,188300,4252.5,41034,926.7
1997-01-01,AZ,327734,7195,28411,623.7,299323,6571.3,375,82,1492,32.8,7547,165.7,18997,417.1,60077,1318.9,195045,4282,44201,970.4
1998-01-01,AZ,306985,6575,26984,577.9,280001,5997,376,81,1451,31.1,7715,165.2,17442,373.6,56473,1209.5,183137,3922.4,40391,865.1
1999-01-01,AZ,281735,5896.1,26334,551.1,255401,5345,384,80,1383,28.9,7547,152.5,17279,361.6,49423,1034.3,167731,3510.2,38247,800.4
2000-01-01,AZ,299092,5829.5,27281,531.7,271811,5297.8,359,70,1577,30.7,7504,146.3,17841,347.7,51902,1011.6,176705,3444.1,43204,842.1
2001-01-01,AZ,322549,6077.8,28675,540.3,293874,5537.5,400,75,1518,28.6,8868,167.1,17889,337.1,54821,1033,186850,3520.8,52203,983.7
2002-01-01,AZ,348467,6575,30171,554.5,318296,5849.8,387,71,1608,29.6,8000,147,20176,370.8,59087,1085.9,201541,3704,57668,1059.9
2003-01-01,AZ,340669,5858.3,26334,513.3,314335,5345,441,79,1856,33.3,7619,136.6,18722,335.6,58613,1050.6,198725,3561.9,56997,1023.6
2004-01-01,AZ,334028,5577.7,28952,504.4,291203,5073.3,414,72,1896,33,7721,134.5,18921,329.6,56885,991,179012,3118.7,55306,963.5
2005-01-01,AZ,317823,5351.2,30478,512,287345,4838,445,75,2006,33.7,8579,144.1,19448,326.7,56328,946.2,176112,2958.4,54905,922.3
2006-01-01,AZ,316286,5128.3,30916,501.4,285370,4627.9,465,75,1941,31.5,9226,149.6,19284,312.7,57055,925.3,173466,2813.1,54849,889.5
2007-01-01,AZ,310364,4896.7,30600,482.7,279764,4414,468,74,1856,29.3,9618,151.7,18658,294.3,57825,912.2,173580,2738.4,48389,763.4
2008-01-01,AZ,296956,4569,31274,481.2,265682,4087.8,454,70,2193,33.7,9757,150.1,18870,290.3,58125,894.3,169346,2605.6,38211,587.9
2009-01-01,AZ,264849,4015.5,28128,426.5,236721,3589,380,58,2279,34.6,8199,124.3,17270,261.8,54308,823.4,155976,2364.8,26437,400.8
2010-01-01,AZ,253330,3950.1,26528,413.6,226802,3536.5,408,64,2191,34.2,6953,108.4,16976,264.7,50932,794.2,154137,2403.4,21733,338.9
2011-01-01,AZ,256685,3968.9,26789,414.2,229896,3554.7,397,61,2499,38.6,7145,110.5,16748,259,54695,845.7,155400,2402.9,19801,306.2
2012-01-01,AZ,259778,3965.4,28077,428.6,231701,3536.8,358,55,2282,34.8,7383,112.7,18054,275.6,52911,807.7,159808,2439.4,18982,289.8
2013-01-01,AZ,250870,3781,27576,415.6,223294,3365.4,355,54,2344,35.3,6656,100.3,17391,262.1,48292,727.8,158036,2381.9,16966,255.7
2014-01-01,AZ,239828,3564.2,26422,392.7,213406,3171.5,311,46,2356,35,6225,92.5,16614,246.9,43412,645.2,152683,2269.1,17311,257.3
2015-01-01,AZ,235152,3449.2,27968,410.2,207184,3039,306,45,2268,33.3,6360,93.3,18193,266.9,38010,557.5,152388,2235.2,16786,246.2
2016-01-01,AZ,239859,3471.8,32542,471,207317,3000.8,389,56,3304,47.8,7045,102,21804,315.6,38216,553.2,150618,2180.1,18483,267.5
2017-01-01,AZ,240646,3414,35647,505.7,204999,2908.3,422,60,3622,51.4,7440,105.5,24163,342.8,37722,535.1,148251,2103.2,19026,269.9
2018-01-01,AZ,226032,3151.7,34058,474.9,191974,2676.8,369,51,3638,50.7,6523,91,23528,328.1,31532,439.7,141303,1970.3,19139,266.9
