year,state,Black,Other,White,Female,Male,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1975-01-01,TN,667315,13345,3580283,2199886,2061057,63032,60334,61408,65870,73195,69947,68893,68374,67987,71276,77985,78340,79118,81618,85003,84457,84256,82828,85348,84070,83408,78050,75133,72730,72466,69753,68900,68194,73132,55399,59066,57703,61254,53238,51736,48814,47798,46970,45636,45483,46393,43794,44456,44252,46280,47418,45740,46479,45843,46381,47253,46781,45954,46502,45047,44963,42337,40396,38993,39031,38385,38885,37425,36145,36129,36055,33867,33347,30315,30647,27595,26111,23687,21600,21825,19619,17135,15929,14731,14697,12467,11170,10182,8887,7630,33983
1975-01-01,TX,1522294,103864,10942159,6396667,6171650,211903,196859,197573,211620,234239,219278,215053,215712,212222,221265,242481,243882,244792,247995,254472,251725,251665,253869,253151,256563,258638,245820,238839,233207,234043,221035,215985,211890,224379,169753,175650,169279,179121,155575,151282,145302,140144,133121,129504,131012,133956,126877,128128,127590,131731,136964,131187,131790,129221,131861,132927,129846,126478,127389,123323,120199,112972,106436,102717,101715,103060,100465,99194,93413,92461,93546,89579,86161,79141,77888,72208,68957,64328,56945,57403,51479,45994,41765,38980,38335,32248,30277,27716,23277,20185,90107
1975-01-01,UT,7933,28302,1197755,622150,611840,29858,27885,27514,28492,29386,25731,24142,23614,22785,23336,24812,24997,25044,25464,25427,25882,26186,26652,28149,27028,25419,26879,26771,25609,25391,22561,22113,21266,22287,16251,16409,15886,16636,13775,13306,12769,12584,11724,11183,11325,11407,11049,10901,10952,11306,11313,10976,10826,10546,11002,10753,11072,10531,10719,10315,10186,9797,9067,8854,8686,8176,8289,7984,7594,7413,7241,7006,6528,6192,5611,5620,5256,4914,4242,4415,3948,3591,3257,3162,2813,2622,2387,2263,1890,1623,7167
1975-01-01,VA,943378,47189,4065632,2571422,2484777,71782,69011,70250,74914,83167,82065,80496,81026,81105,85485,92720,95134,95901,97332,100423,99686,99388,99556,100279,102662,107848,104744,100239,95806,93588,89847,88848,88835,92375,70273,73822,72969,78027,68685,65873,61672,60506,59916,56592,56907,56793,54783,54932,54207,55234,56781,54992,55911,54798,55855,57023,57337,55883,55471,52782,53172,49491,46407,44829,44046,41987,42109,40192,38141,37290,35779,33241,32173,29420,29532,26427,24473,22692,20251,20220,18827,16625,15068,14250,14652,12076,10879,9987,8671,7477,33279
1975-01-01,VT,1013,1606,477278,245454,234443,7136,6909,6892,7548,8368,8112,7873,8069,7940,8466,9114,9323,9434,9571,9990,9449,9499,9429,10589,10723,9947,9570,8413,7907,8014,7735,7768,7964,8718,6577,6798,6679,7120,5994,5792,5356,5081,5024,4759,4772,4827,4559,4660,4516,4741,4857,4664,4764,4711,4934,4741,4886,4903,4727,4606,4707,4469,4314,4070,4246,3987,4046,4036,3831,3747,3790,3595,3487,3338,3168,3083,2934,2828,2439,2485,2340,2053,1900,1840,1824,1633,1483,1450,1223,1046,4987
1975-01-01,WA,86686,119061,3413181,1821828,1797100,51518,48791,48463,51462,56278,57847,56985,57313,57650,61530,66577,67945,68269,69063,70987,69540,70447,72172,70290,71678,69070,66728,64629,63422,63774,63018,63294,63419,67143,50570,53661,52564,55897,47918,45402,42806,41934,39901,38053,38180,38027,36571,36831,36873,37535,38579,38042,38022,38062,39107,40458,40435,39856,40181,38920,39065,36944,35172,34462,34255,32591,32748,31618,30415,29124,28822,26808,25379,23933,22263,21345,20516,18852,16954,16818,15879,14083,12795,12546,11819,10890,10176,9653,8293,7162,33861
1975-01-01,WI,155587,39695,4374378,2327290,2242370,65542,62988,64280,69749,77633,77824,75363,75281,75501,80250,88695,90896,92447,95019,98217,94973,94536,94994,94963,91877,89559,84211,80325,76738,76915,72459,71531,72566,78377,57429,59357,58233,61114,52038,50929,47848,46691,46492,45234,45858,44822,44015,44857,44966,45670,47745,46561,47355,46779,48677,46624,48363,48219,49292,47134,48392,45341,43465,41368,41411,39945,40851,40638,39913,38626,37429,35285,33766,31814,30152,29532,28765,27094,24742,24507,23055,20950,18885,18569,17506,15401,14796,13992,11876,10134,45449
1975-01-01,WV,65154,4992,1770514,948034,892626,27345,26479,27050,29120,32488,30285,29176,29595,28965,29791,31809,33221,33843,34466,35725,36809,36283,36126,35608,34344,34884,33386,31712,30156,29345,27442,27018,27903,30440,22988,22835,22622,23758,20073,19237,19313,18362,18281,18174,18500,18217,17862,18603,18384,19057,21031,20291,20617,20780,20904,20875,21469,21598,21876,21312,21237,20179,19127,18723,18613,18154,18328,17894,17654,17160,16828,15922,15505,14201,14062,12759,12002,11176,10317,10113,9691,8506,7886,7435,7100,6037,5506,5171,4490,3690,17361
1975-01-01,WY,2998,7226,370313,187068,193469,6776,6354,6111,6396,7089,6709,6392,6377,6313,6484,7247,7221,7244,7364,7598,7587,7775,7713,7625,7509,7671,7410,7327,7326,7651,7118,7083,6926,7524,5581,5545,5281,5544,4570,4361,4387,4340,4045,3942,3931,4020,3900,3868,3874,3826,4062,4033,4013,3882,3965,3871,3997,3879,3906,3656,3679,3464,3268,3071,3090,2975,2987,2872,2773,2697,2649,2507,2343,2201,2067,1896,1799,1663,1504,1491,1512,1306,1200,1177,1135,989,934,829,739,631,2890
1976-01-01,AK,12653,69943,310402,184487,208511,7825,7543,7092,7269,7583,8230,7797,7820,7157,7524,8027,7950,8054,8079,8105,8031,7677,7679,7057,7855,8792,9424,8890,8755,9045,9393,9109,9326,8857,9914,7509,7027,7167,7244,6505,6133,5704,5396,5098,5025,4796,4382,4192,4181,4055,3882,3932,3681,3483,3488,3455,3294,3175,2961,2896,2758,2605,2258,2076,1961,1668,1623,1571,1350,1281,1054,911,798,766,681,593,537,475,427,398,357,320,269,223,215,192,148,147,124,102,590
1976-01-01,AL,955768,12706,2768564,1938304,1798734,56858,56610,55121,57636,62080,66051,64789,64345,61409,63661,67344,69505,71808,73404,76154,79198,77274,77018,76079,75977,74242,70246,67439,64376,63426,60327,57440,57185,55160,61046,46599,45943,47139,48935,44372,42544,40108,39466,38112,38337,39101,37758,37736,37869,38125,38389,40371,39444,39367,39218,38838,39951,38885,39865,38944,37383,38334,36164,33781,32918,33378,33960,31958,32925,32182,31164,30577,29725,26929,27058,25173,22957,21709,20208,18620,16494,15509,13805,12097,12394,10300,9451,8191,7407,6394,29269
1976-01-01,AR,363223,11368,1794065,1117490,1051166,33269,32664,31812,33110,35692,37611,36583,36150,34062,35237,37541,38872,40265,41135,42595,44206,43482,42983,41175,40586,39856,38184,36341,35079,34931,33448,31770,31594,31225,35232,26299,26026,26368,27550,25330,24076,22559,21840,21601,21581,21726,20525,20515,20604,21200,20917,21971,21439,21153,21532,21461,22240,21932,22342,22622,22188,22537,21476,20582,20526,20651,21523,21586,20862,21226,20990,21041,20261,19363,18775,17337,16564,15761,14413,13415,11760,11301,10128,9009,8754,7749,7248,6475,5881,5049,22126
1976-01-01,AZ,66536,148460,2132974,1189441,1158529,39214,37353,36319,37237,39645,40752,39473,39276,37271,39448,42098,42893,44542,45185,46056,46780,45995,45809,45927,48038,47726,46021,44651,42918,43088,41144,38984,38942,38150,43679,31632,30816,30970,32058,28756,27280,25536,24846,24376,24245,24179,22988,22453,22594,22855,22477,23425,22952,22730,23429,23416,23842,23431,23278,23607,22663,22918,21850,20993,20781,19858,20995,20857,20952,20579,19346,19923,19149,18081,17075,15440,15085,13917,12916,11078,10127,9731,8280,7400,6815,5970,5397,4854,4409,3454,14292
1976-01-01,CA,1655431,1147991,19131182,11125527,10809077,308465,298643,287516,297643,317175,354033,343911,338945,323081,343303,367138,377563,389721,396029,405436,411960,409942,418390,416410,439749,430982,422630,418864,415346,417829,412247,393406,396166,382710,435936,324102,314046,318641,331893,302616,282474,259084,250964,243743,243387,243758,232611,227571,229675,231418,232337,243564,234578,234442,241023,242650,247150,242273,240740,244941,227670,229998,214339,201466,196382,184232,187359,182008,175443,168650,161770,161199,150755,143990,135451,127829,123024,113414,106653,94996,91252,87933,78648,71228,70053,61190,57928,51625,47283,39545,180441
1976-01-01,CO,87668,41438,2503264,1323449,1308921,40416,39272,37315,38099,40694,43266,42630,42406,40889,43195,45916,47568,48489,48986,49855,51291,50774,51187,53777,56873,57263,56813,54185,53303,54230,52422,50790,51470,50943,58690,41710,40432,40808,42410,36717,34598,31614,30377,29820,29163,28856,27737,26518,26795,26733,26057,27551,26608,26346,26589,25729,26897,25868,25152,25037,23391,23699,22235,21014,20200,18817,19187,18664,17873,17147,15933,16510,15165,14559,13776,12741,12364,11385,10725,9684,9028,9056,7944,7219,7111,6318,6150,5533,5224,4469,20120
1976-01-01,CT,203619,19444,2862936,1593375,1492624,36893,37103,36189,38144,42326,49715,48763,48229,47258,50624,52904,55806,58555,59724,62463,62657,60800,59950,56585,56074,52811,52273,50862,50230,50379,49626,48134,49316,47117,53132,40271,40423,41894,44963,41113,36815,35131,35379,33645,33286,33325,32598,32205,32334,32696,34000,35724,35135,35792,37074,36341,38408,38315,37771,37486,37176,37008,34708,32640,31804,29519,30369,29523,28594,26758,25136,24897,22740,21921,20197,18834,18311,17105,16139,14324,13845,13287,11701,10743,10055,9706,9570,8628,8042,6781,29172
1976-01-01,DC,491256,8199,196850,373178,323127,7954,7683,7748,8117,8638,9787,9402,9241,9095,9777,10411,10633,10808,10895,11072,11267,11549,11756,13953,16065,15422,15393,14936,14562,14129,15542,14893,14906,13686,14305,11121,10613,10769,10856,9889,8756,7992,7942,7411,7364,7576,7362,7123,7295,6877,6749,7417,6991,7095,7107,7371,7920,7643,7809,7518,7316,7936,6980,6587,6297,6056,6664,6717,6283,6218,5741,5433,5363,4871,5066,4411,4042,3802,3413,3348,3161,2901,2649,2357,2365,2137,1833,1611,1457,1273,5826
1976-01-01,DE,90902,4489,497362,305243,287510,8265,8246,7991,8298,8945,10052,9778,9832,9577,10065,10515,10957,11428,11926,12180,12402,12227,12161,12559,12782,12002,11796,11262,10630,10345,9946,9484,9838,9279,10581,7868,7926,8156,8572,7667,6920,6619,6541,6452,6371,6506,6446,6336,6297,6321,6278,6709,6495,6581,6744,6590,6912,6758,6657,6611,6269,6447,5924,5588,5408,5018,5033,4962,4741,4374,4156,4005,3752,3539,3464,2945,2955,2643,2496,2250,2213,2119,1912,1675,1688,1450,1438,1218,1176,944,4269
1976-01-01,FL,1227814,54786,7412598,4508172,4187026,109264,106391,103201,108333,116542,122537,120836,122111,118643,124650,132373,136817,142021,146644,151773,157294,155006,154672,150340,154806,151538,145874,142895,140108,140572,134225,127242,127160,123493,140811,102434,101071,103759,109495,100235,95140,89176,88260,85196,86164,88113,85272,84180,85494,85886,86658,91744,90634,90636,93516,91500,96686,95788,96619,97453,94388,97592,93786,90387,90540,89734,95869,98109,100376,99793,101483,104831,102078,98501,94788,89966,88463,82111,77315,68427,62975,59806,52855,46465,44712,37645,34942,30437,27717,22404,87422
1976-01-01,GA,1336765,22323,3766646,2643126,2482608,80871,80178,77376,80843,86858,92434,90752,90021,85704,89343,93380,96665,98659,101349,103874,106041,103558,103665,102413,104626,102900,98085,96542,94384,92746,91841,86966,87926,85001,94921,72312,70930,72952,75693,68349,64020,59568,58575,56509,55300,56130,53746,52251,52276,52574,51864,53842,52832,52540,52036,51192,53163,50571,50503,50312,48506,49267,46168,43409,42318,41322,42496,39774,39568,38028,37221,35756,34492,31798,31712,28836,26310,24053,22535,20418,18629,17541,15790,13846,14435,11766,11086,9583,8763,7450,32896
1976-01-01,HI,13540,617501,271020,436537,465524,14591,13924,14254,14549,15038,16039,14933,14368,14242,15131,16863,16049,16060,16318,16792,17264,16823,17177,16642,18337,21115,21024,20041,19079,19072,18188,17701,17525,16152,16541,13737,13713,13989,14113,12901,11808,10953,10615,9823,9671,9117,9256,9343,9414,9460,9846,9773,9448,9499,9448,9503,9877,9751,9559,9262,9098,8954,8001,7502,7034,6644,7178,6790,6387,6193,5438,5065,4938,4457,4241,4047,3706,3336,3040,2831,2682,2449,2186,1925,1862,1537,1338,1097,1001,880,4513
1976-01-01,IA,38445,14694,2850637,1490632,1413144,41951,41451,40139,41201,43939,48461,47415,46587,45449,47205,50569,52047,54604,55750,57996,58365,57990,58285,59193,58870,56311,52993,50973,48845,48982,46153,44284,44390,44585,50560,36176,35085,35251,36563,32720,31035,29077,28426,28512,28794,28359,27671,27160,27850,28250,28660,29887,29520,29630,30294,29401,31344,31145,30924,31434,30205,30158,29063,27661,27264,25887,27032,26361,26052,25251,23498,24219,22893,22288,20988,20401,20166,18724,18142,16418,15766,15904,14366,13541,12740,11609,11432,10481,9726,8207,38622
1976-01-01,ID,2522,14274,840280,428495,428581,15986,15949,14919,15359,15786,16388,15855,15421,14528,15092,15513,16008,16564,16831,17259,17704,17631,17690,17759,17337,16620,15853,15386,14898,15310,14293,14022,14137,14105,16027,11567,11270,11205,11580,10519,10054,9451,8902,8858,8804,8823,8339,8070,8178,8028,7912,8219,7944,8087,8145,8084,8322,8290,8172,8169,8058,8150,7888,7564,7440,7063,7323,7101,6914,6702,6185,6321,5833,5787,5200,4894,4627,4214,3983,3468,3303,3215,2827,2686,2446,2264,2144,1951,1776,1486,7041
1976-01-01,IL,1578863,136743,9644725,5850469,5509862,164545,161165,157229,164027,177055,191460,186043,185531,178398,187078,198230,205640,214185,217389,221564,227890,221910,224382,220072,222762,209057,200524,199457,195082,195913,191504,182761,186505,181147,203181,151934,149414,152102,157931,144185,131506,124291,124057,121510,121027,119640,117083,115330,116127,117200,119179,125327,121054,121517,126308,122999,129866,127965,128331,129099,124099,125336,116401,108871,106036,101043,105250,102010,99356,95786,89232,88311,82380,77532,74042,69910,67205,62674,59187,53834,50013,48753,43543,39142,37967,34694,33102,29471,27251,23017,98215
1976-01-01,IN,390510,23360,4957745,2756680,2614935,81247,81063,78859,81890,88327,94511,92980,91422,87740,91125,95455,99043,103598,105900,107842,110796,108662,107678,108016,108963,104456,100803,96700,93272,91767,89699,85420,86500,85040,95108,70557,69727,70115,73125,65422,61871,57216,57345,56702,56572,55830,54685,53498,53648,54124,55826,58388,56696,57195,57923,56658,59874,58833,58453,58895,55463,56209,51810,49186,47311,44539,46758,45280,43937,42624,39395,39797,37320,35810,33418,31756,31026,28792,27268,24729,22805,22771,20214,18787,17559,15618,14808,13488,12444,10364,47269
1976-01-01,KS,117736,25219,2155937,1172666,1126226,33516,32689,31090,31986,34337,36692,35916,35462,33464,35509,38048,39237,40635,41392,42996,44543,44174,44663,46139,48666,48151,46289,43521,41421,40827,38524,36563,35928,35265,39791,28647,28388,28543,29715,26823,25421,23652,22850,22768,22552,22962,22466,21904,22206,22722,22886,24376,23721,24100,24237,23900,25093,24860,24687,25320,23354,24329,22826,21834,21466,20343,21235,20758,20453,19924,18762,19658,18623,18030,17073,16319,16073,15026,14337,13033,12327,12322,10982,10264,9612,8920,8586,7905,7261,6150,28874
1976-01-01,KY,249426,10948,3270306,1802254,1728426,53329,53397,51866,54128,58128,61445,60285,59624,56953,58479,61448,63704,66811,68195,70536,73324,71046,71862,71598,74488,72013,68077,65066,62383,61793,59148,55413,55827,55633,62919,46364,45547,45655,47122,42649,40356,37376,36729,36641,36673,36951,35193,34615,34033,34853,35364,37295,36254,35908,36151,36147,37466,36936,36124,36898,34370,35339,33301,31921,30826,29563,31240,29862,29275,29754,26830,27829,26723,25597,24862,22867,22025,20470,19440,17838,16321,15573,14207,12662,12528,10782,9986,9042,8194,6817,30418
1976-01-01,LA,1159100,24980,2767426,2033823,1917683,64946,63718,62056,64618,68183,75747,72845,71223,67945,70387,75588,78200,80662,82457,83919,86862,83834,83426,83493,85436,83418,77728,74933,72000,71038,69026,64191,63384,61427,67152,50984,49197,50265,52336,46559,44405,41261,40654,40018,39359,40227,38665,38525,38449,37585,38687,40161,39994,39907,39653,38975,40283,39778,39388,38549,36635,37617,35313,33223,31856,31171,32179,31568,29864,29615,29136,28236,27794,25486,25389,23166,21421,20267,18661,16999,16136,14465,13497,11512,11601,9583,8724,7625,7115,5760,26186
1976-01-01,MA,218627,48038,5482220,3008081,2740804,69407,70188,68790,71345,78338,89580,89264,88673,86224,90927,95478,100892,107190,109092,112937,112599,109689,109563,114505,118619,112586,109124,104133,101194,99419,97571,93088,94403,91173,103160,75398,74683,75750,80037,71374,64112,60339,60401,57766,56779,57751,56398,55494,56423,57078,58876,62541,61326,61568,63557,62701,66390,66436,65720,66383,64489,64982,60901,57336,57124,53425,55734,54585,52412,50174,47622,48013,44864,43497,40677,38620,38092,35698,33778,29922,29659,28828,25762,23649,22645,20338,20171,18174,16648,14056,62578
1976-01-01,MD,866342,54588,3251182,2144010,2028102,54123,54264,53651,55733,60571,69297,67816,67569,66778,70297,74628,78825,82632,83689,85642,86848,84665,83451,79623,80373,77142,75713,75591,73865,72498,74006,70790,73145,70465,78656,58943,59955,62080,65263,58019,54064,50581,50531,48923,47688,47001,46562,45453,45322,45105,45679,48341,46829,46623,47073,47096,49631,48359,47658,46776,44466,44951,41423,38548,37319,34422,35674,33987,32589,31229,28624,27769,25812,23969,23196,21481,20894,18981,17703,16028,15106,14224,12819,11110,10947,9590,9109,8066,7357,6124,26694
1976-01-01,ME,3176,5876,1080912,559434,530530,15433,15454,15124,15696,17021,18257,18446,18366,17625,18118,18987,19780,21009,21468,22108,22442,21927,21926,21568,21309,20798,19968,18828,17883,17680,16870,16619,16605,16620,18931,13983,13798,14193,14684,12753,12161,11728,11255,11192,10636,10980,10817,10611,10754,10957,11087,11595,11423,11603,11694,11231,11906,11725,11420,11606,11346,11156,10700,10097,10004,9631,9943,9792,9666,9374,9052,9248,8602,8375,7843,7413,7453,6846,6592,5688,5597,5377,4875,4524,4162,3685,3730,3379,3077,2574,11505
1976-01-01,MI,1110784,75441,7931314,4659199,4458340,135653,136092,132294,136514,147628,161285,160366,157947,153319,162007,166622,174273,182650,185336,188326,195980,192281,189554,185921,185534,175034,170661,167207,161937,158965,154866,148044,149926,146727,162708,120822,119923,120445,125743,112931,103086,97245,97016,95370,93815,92978,91341,89996,90664,91702,95466,99029,96923,98427,100529,96395,102832,102051,101734,100997,96289,96345,89330,83563,80068,74117,77849,75913,73210,70001,63768,62897,58781,54392,51249,49583,47966,44503,42256,37975,35234,34196,30715,27279,26275,24090,22845,20740,18943,16006,68044
1976-01-01,MN,45775,52225,3858673,2014799,1941874,57683,57901,54892,55958,60735,67004,65836,65070,62744,66731,72075,74845,77700,78496,81718,82509,81760,82807,81557,81495,77164,73171,71333,69319,69512,67443,64359,65535,65486,73508,53530,51776,51927,53889,48211,44845,41978,41351,40714,40487,39764,38540,37402,38181,37858,37970,39935,39029,38990,39386,37780,40632,39774,40022,40342,38984,38609,37348,34865,33778,32226,34100,33064,32984,31995,29571,29949,28493,27386,25266,25180,24845,23029,22302,20159,19421,19316,17294,15904,15093,13865,13459,12425,11672,9723,43709
1976-01-01,MO,491774,28357,4303584,2498582,2325133,68181,67213,64782,67193,72206,77145,75339,75537,72806,75627,82338,84359,87928,90298,92791,96168,94392,95091,95379,96127,89615,84461,82603,80334,79738,76975,73452,73341,72473,81473,60768,59866,60757,63425,57492,53610,50977,50037,50053,49734,49544,48533,47552,48066,48836,49199,52217,51022,50703,51489,50600,53336,52898,52892,53394,50585,51524,48339,46419,45163,44314,45893,45369,44657,43900,42315,43416,41138,39993,38007,36231,35019,33058,31554,28579,26203,25700,22852,21065,20096,17989,17080,15243,14389,11955,53305
1976-01-01,MS,861505,11103,1557502,1255217,1174893,41615,40909,39786,41499,44177,46731,45146,44833,42570,43943,47004,48031,49367,50110,51289,54131,52316,52669,52531,52476,51794,46985,44191,41863,40591,38021,35139,35107,33915,36955,28383,27686,28670,29682,26820,25790,24167,23847,23145,23263,23400,22760,22434,22676,22491,22704,23595,23356,23135,23507,22946,23587,22985,23629,22661,22059,23255,21720,20508,20093,20629,21066,20250,20184,20241,20699,20418,19919,18416,18942,16601,15011,14482,13230,12460,11417,10603,9401,8206,8464,7414,6141,5676,5239,4390,19963
1976-01-01,MT,1977,36050,720570,379260,379337,11944,11747,11166,11565,12289,12947,12669,12478,12000,12653,13657,14082,14605,14956,15251,16081,16017,16231,15216,14773,14780,14273,13902,13217,13583,12744,12368,12645,12237,14304,10367,10136,9887,10387,9464,8752,8088,8127,7921,8010,7910,7530,7350,7571,7448,7420,7756,7472,7693,7651,7583,7974,7860,7714,7618,7601,7815,7364,7084,6824,6555,6843,6737,6531,6102,5750,5804,5378,5101,4853,4355,4189,3869,3693,3223,2982,2947,2643,2354,2258,2166,2161,1927,1865,1567,7987
1976-01-01,NC,1236796,73863,4282681,2871610,2721730,80478,80814,79216,81342,87214,94323,93195,92786,89550,93505,97440,100724,104158,105989,108144,110676,109693,110575,116616,123398,123547,116911,108497,102262,100465,96313,91665,92004,89420,98331,74508,73476,76054,79526,72952,67925,63304,62046,60348,59181,60549,58675,58245,58452,59239,59904,62058,60492,59653,59123,59375,62363,60219,60104,58793,57193,57770,53815,51027,49031,47771,49185,47009,46049,45354,42830,41585,40086,37547,36232,33035,30862,27741,25833,23627,21745,20670,18107,16184,16021,13479,12367,10835,9991,8308,36236
1976-01-01,ND,2615,19939,622875,320070,325359,10149,9914,9565,9725,10369,11008,10719,10645,10033,10309,11544,11810,12247,12656,13202,13684,13374,13810,13831,14332,14621,13918,13099,12162,12396,10876,10244,10018,9765,11033,7908,7661,7564,7693,7289,6752,6327,5985,5996,5902,6090,5890,5716,5975,5952,6036,6317,6162,6160,6230,5984,6435,6326,6355,6367,6169,6304,6017,5774,5692,5519,5741,5763,5795,5521,5103,5380,5022,5005,4635,4343,4252,3926,3692,3309,3174,3139,2682,2529,2366,2172,2090,1924,1755,1484,7022
1976-01-01,NE,45812,14180,1489136,792156,756972,23444,23042,22196,22830,24600,25983,25458,24991,23980,24688,26658,27555,28448,29087,30277,30283,30296,30440,30866,31584,31062,29322,28187,27289,27444,25373,24353,24286,24232,27428,19800,19337,19207,19924,17865,17015,15961,15316,15397,15340,15312,14895,14491,14943,14769,15247,15990,15585,15767,15880,15347,16357,16015,15675,16078,15096,15326,14518,13866,13485,13362,13832,13425,13378,12934,12476,12752,12381,11925,11401,10893,10666,9832,9728,8584,8503,8524,7615,7062,6897,6168,6005,5522,5256,4302,20219
1976-01-01,NH,3456,3440,840129,432986,414039,11779,11939,11679,12088,12946,14208,14036,14003,13561,14253,14742,15409,16145,16530,16922,16802,16162,15904,17001,17681,16586,15759,14744,14053,14090,13830,13661,14000,13961,16200,11783,11899,12383,12766,11071,10253,9697,9525,9080,8784,8889,8410,8246,8280,8449,8538,8790,8700,8754,8870,8605,9188,8886,8835,9051,8577,8429,8061,7676,7634,7036,7472,7134,7127,6918,6634,6783,6413,6133,5819,5376,5318,4928,4634,3995,4028,3827,3377,3217,2978,2585,2516,2294,2098,1684,7918
1976-01-01,NJ,877775,79703,6386601,3808182,3535897,91617,92257,90954,96105,105336,118368,117006,115364,111841,119457,126222,132623,138969,141831,145795,147231,143438,142986,130392,128143,119637,116100,115180,114305,113941,113182,108407,113160,109360,124188,94091,93751,98202,105313,96801,87481,82969,85745,82432,81797,82671,80114,79451,80556,80816,82878,88342,87168,87559,91107,89359,93119,92786,91959,91460,88236,88534,82839,77158,76682,71488,72931,71908,67859,65130,61631,60282,56332,53536,51076,46775,45265,42019,38851,34854,33901,32166,28588,25349,24779,22083,21562,19302,17217,14364,60060
1976-01-01,NM,22519,98694,1073995,605682,589526,21369,20414,19334,20116,21447,22614,22251,22081,20824,21758,23964,24122,24932,25422,26227,27014,26503,26609,24880,25080,23953,23044,22450,21818,21411,20475,19663,19563,19356,22220,16143,15756,15797,16260,14678,14393,13362,12875,12747,12532,12912,12435,11860,11896,12080,11969,12291,11955,11758,11923,11732,11898,11407,11152,11453,10886,10762,10151,9737,9232,8847,8942,8885,8609,8414,7877,7805,7449,7165,6649,5925,5704,5188,4840,4229,3927,3718,3207,2951,2813,2392,2341,2081,1858,1621,6825
1976-01-01,NV,40320,20179,586371,318660,328210,9639,9273,8634,9230,9717,10392,10216,10231,9900,10424,10987,11191,11683,11954,12269,12182,12094,11939,11014,11644,11590,11725,11989,12065,12419,12090,11691,11623,11368,13403,9993,9714,10042,10492,9414,9124,8564,8262,8085,8021,8063,7542,7360,7266,7497,7336,7625,7421,7113,7500,7353,7478,7339,7101,7300,7074,7001,6745,6278,6041,5656,5790,5591,5385,5151,4639,4448,4121,3903,3424,3104,2910,2680,2416,2082,1889,1740,1580,1327,1366,1020,955,873,798,595,2707
1976-01-01,NY,2365348,288628,15320805,9404367,8570414,229514,227859,225452,236096,256236,287521,279665,275438,264225,283962,297453,311358,325623,333429,345005,346400,337794,337909,328121,330576,315817,304747,295019,288587,292330,290884,277486,288752,280000,320167,239420,233949,239864,251295,236117,213412,198685,200509,194262,197282,199948,191009,189163,190254,192827,196752,207866,202915,203209,213856,209120,216738,214853,213403,214794,205513,205867,193906,181356,181381,173345,177474,173996,166608,161701,155220,151535,144253,136515,132054,123526,119333,110013,103431,93585,90757,85997,77046,68618,68631,60550,57278,50773,46846,39060,163686
1976-01-01,OH,1026251,49462,9677130,5546231,5206612,156530,157060,151053,156746,169284,183489,180092,178458,173490,181775,187237,197022,205155,208449,212245,222317,216209,215639,211839,211347,199095,194143,191955,186069,181371,177513,167900,172807,169633,190254,139370,138251,141085,146645,128609,120848,112990,115078,114106,113421,111998,109995,109748,110401,111419,115930,121138,117670,119145,121614,118689,126312,125532,124683,125162,117505,120344,109772,103823,99827,92706,97344,94202,91133,87868,80574,81428,74982,71118,66725,63342,61423,57622,54725,49368,45815,44848,40282,36308,34544,31829,30228,27526,25645,21338,92634
1976-01-01,OK,190842,152286,2480204,1443609,1379723,42477,41407,39565,41179,44033,46034,44761,44626,42483,43858,47271,48479,49770,50401,52139,54345,53898,54917,55082,57376,56308,53528,51599,49927,48979,47112,44826,44017,43077,48896,35782,35187,35635,37695,34331,32519,30711,29092,29007,29134,29745,28349,27817,28171,29209,29133,30496,29259,28983,29474,29509,30501,30018,29558,30590,28233,28990,27497,26211,25600,25155,26477,25943,24654,24550,24144,25057,24017,23219,21939,20390,20139,19421,17784,16505,14501,14426,12743,11460,11013,9660,9449,8547,7665,6436,29232
1976-01-01,OR,32309,50875,2289033,1204243,1167974,33933,33444,31844,33153,35066,37725,36926,37056,35319,37646,39682,40587,42155,43076,44214,44750,45012,45799,44196,44146,42510,41485,41442,41894,43102,42093,41804,42261,41738,48470,35287,34096,34043,35718,31185,29011,27150,26017,25477,25381,24552,23635,22914,22973,22826,23448,24339,23492,23765,24600,23908,25295,25148,25154,25708,24792,25012,23810,22773,22237,21542,22286,21897,21552,20845,19770,19998,18770,18045,16523,15772,14996,13922,13170,11462,11201,10836,9922,8907,8401,7587,7238,6559,6133,5046,23563
1976-01-01,PA,1024790,58535,10804244,6181751,5705818,148190,150250,146752,152615,166291,184943,182609,181403,176250,186615,191619,204332,215352,220231,226442,235452,230552,228906,226495,227251,216827,210509,201052,194098,189528,183750,176863,181632,175902,197523,142169,141714,146426,153673,135696,125224,119722,121802,119125,119973,120357,119088,119671,122040,123791,130956,138449,135800,139740,144452,140943,149700,151134,150323,151966,147721,148769,137948,131476,128594,121206,126317,123983,120230,115544,108418,107432,100432,95206,89821,83402,80852,75122,70827,62931,59930,57541,51137,45738,44118,39669,37811,34235,31318,25752,109921
