year,state,Black,Other,White,Female,Male,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1969-01-01,GA,1165837,8036,3339392,2318131,2195134,85907,83482,78981,82430,85829,92669,96205,96193,95432,96982,97558,93572,93636,94827,94032,90794,88178,85922,84498,83803,84607,80570,82543,87086,64926,68315,66657,70414,62189,58408,59301,52803,52187,50133,51019,52075,50364,51426,50232,50048,53631,51506,51781,50310,51791,50296,49075,50463,50533,49315,52694,47799,43301,43583,41839,43042,40855,41229,39441,39533,39621,35280,33755,31933,31491,30370,27373,26213,23109,25636,22945,19915,18325,17136,16589,15257,13702,13052,11338,10442,10097,8856,6987,6465,5429,23699
1969-01-01,HI,6829,503550,240724,361259,389844,14960,13553,13112,13572,14608,15848,16279,16399,16367,16316,16432,15755,15435,15516,15558,14701,14191,14210,13173,13760,15643,16839,15947,15880,12968,12864,12407,12067,10757,9985,9879,9167,8928,8657,8700,9125,8871,9515,9363,9473,10132,9932,9764,9701,9729,9873,9263,9223,8995,8440,8300,7653,7302,6764,6542,6272,5956,5936,5635,5223,5287,4655,4225,3987,3850,3855,3532,3387,3129,3057,2847,2374,2147,1960,1856,1630,1343,1288,1181,1047,1261,1006,817,775,616,2576
1969-01-01,IA,31816,6442,2771525,1445093,1364690,47541,46116,44785,46576,48030,52893,56634,58442,59584,61367,60393,57601,58341,58124,57940,56071,55455,54571,54518,50086,41823,39222,38429,40589,30319,32765,33354,35480,32093,30814,30947,29112,28738,28301,28236,28407,27889,28371,28522,29319,31066,30848,31737,31638,31831,31954,31583,31463,32388,31707,31732,31440,30021,29425,29570,28765,28374,28373,27651,26929,27774,25866,25070,24361,23659,22837,22323,21546,20265,20111,21109,19516,17910,17796,17238,16230,15398,14768,13750,12122,11516,10175,8790,7533,6814,29013
1969-01-01,ID,2100,10077,685310,349676,347811,13090,12590,11798,12034,12030,13229,14289,14991,15378,16049,16065,15365,15597,15773,15937,15527,15536,14826,14163,12468,10640,9890,9947,10317,7868,8473,8778,9062,8338,7869,7977,7497,7375,7212,7145,7452,7170,7021,7328,7274,7811,7484,7629,7548,7569,7775,7659,7763,8115,7912,8121,7907,7666,7489,7379,7102,7211,6986,7004,6547,6749,6148,5938,5485,5430,4843,4579,4256,4071,3928,4128,3539,3378,3214,3057,3060,2801,2807,2564,2148,2148,1844,1645,1383,1289,5010
1969-01-01,IL,1396358,60713,9595748,5692924,5359895,189359,184315,180362,186742,195946,213048,221980,228033,228606,238079,233194,225826,226667,224428,218574,211545,203084,199669,193860,187722,164718,155895,162277,178013,136402,146073,150951,164904,145677,135958,132811,126667,124837,119435,122421,121754,118774,120891,121591,127873,134882,131480,133677,133938,136053,137026,135432,133806,135568,132847,131502,127466,122875,120653,120026,120598,116872,113603,108581,106625,105119,98007,94849,89332,86704,83212,78458,74736,67703,69068,68211,60893,56896,54533,54296,50086,46747,43400,38190,34669,32009,28580,23954,20502,18133,72061
1969-01-01,IN,352655,11088,4798835,2648450,2514128,92428,89827,87738,90502,93749,103376,108552,109153,109755,113434,110787,108085,109364,109018,106257,104440,101643,99250,98581,92619,83200,79205,79540,86632,63929,69472,69261,75330,66929,62635,62052,59134,57949,54917,55628,55987,54604,55749,56171,58072,61507,60698,61733,61776,61650,62941,61962,60459,61855,59109,57827,55888,53350,51978,52005,50853,50297,48628,47064,45405,44810,42907,41158,38785,38032,35746,34373,32931,30719,30021,30420,27403,25676,24634,23535,22037,20709,19697,17511,15607,15139,13050,11204,9694,8741,36100
1969-01-01,KS,105726,13203,2131399,1147197,1103131,36631,35215,33121,34194,36096,39948,43362,44908,45304,47752,46713,45066,45902,46122,45451,45069,43588,42483,43417,42598,39807,39497,36597,37475,27132,28643,28800,29517,26450,24785,24610,23655,23277,22733,23169,23888,23469,23941,24002,24466,25670,25400,25745,25789,26171,25907,26331,25805,26544,25563,25194,24361,23329,22761,23129,22072,22694,22501,22048,21411,21752,20734,20502,19805,19212,17726,17506,16368,15288,15532,16008,14471,13573,13159,13035,12075,11349,10909,9936,8796,8580,7644,6591,5610,5188,21701
1969-01-01,KY,228205,4316,2941219,1616151,1557589,54260,52549,51192,53052,55296,61925,64398,65279,64925,66819,67456,64625,66063,65871,65349,64236,62425,61823,61279,63963,55743,52052,50246,53045,38888,40780,40055,42921,38686,37112,37787,34901,34588,32021,33117,33705,33705,33838,33509,34015,37693,35214,36604,35783,36251,36924,36380,36344,37058,35313,35623,33939,31730,30827,31908,30928,31726,31036,30550,30299,30032,28017,27400,26102,26518,24517,23409,23361,20949,22028,21260,18553,17157,16529,16181,15296,13539,12922,11520,10298,10354,8755,7492,6440,5469,24013
1969-01-01,LA,1077175,8948,2518244,1849765,1754602,70275,69290,67287,69342,71782,78971,80835,81830,81389,83822,84898,80615,80719,81451,80518,79172,75190,73129,72140,71692,63988,57242,57187,60052,44071,48198,46997,49076,44550,41830,42945,38819,39032,36906,37520,37722,37473,38898,38453,38310,41790,40045,41340,41284,40408,39852,38804,39640,39325,37839,39879,36052,33841,32332,32424,32703,31886,32775,31419,31376,31353,28151,28706,26124,26257,25925,23426,23098,20152,21574,19540,16575,15549,14644,13860,12753,10881,10809,9203,8184,7771,6857,5576,4897,4340,19532
1969-01-01,MA,169617,27654,5462164,2955415,2704020,93845,92851,92917,96456,100657,106505,111535,111853,113299,115654,112256,110419,110855,109596,107640,103372,100248,98466,102184,101839,92708,89504,89430,97706,71778,74900,75957,82832,69655,63695,61515,57826,56990,55158,55737,58269,57904,60007,60751,61956,65900,66487,67553,68038,68496,69910,69671,67985,69272,68739,68463,66563,65212,62132,61880,60572,59388,57391,56213,54072,54897,52579,50294,47986,45034,44859,42852,40982,38426,38657,39000,36368,34267,33045,32088,29855,27262,25545,22841,20774,19281,17601,14869,12246,11200,45965
1969-01-01,MD,673009,20540,3170972,1975731,1888790,67657,67573,67036,70060,73955,79526,82981,82379,83379,85488,82982,81124,81409,79973,77622,74953,71783,69659,65711,64324,60731,60635,64090,70427,52229,56963,57471,62543,55134,50615,49048,46848,46140,43945,44429,45097,44407,45231,45023,45916,48980,48954,49413,48847,49152,50100,50100,49717,50091,48324,47139,44048,41578,39654,38289,38095,36167,34786,32991,32141,31004,29415,28047,26194,25384,24264,22318,21193,18925,19703,19084,17221,15701,14864,14281,12931,11468,10863,9346,8320,8099,7083,5771,5026,4582,18372
1969-01-01,ME,2960,3296,974353,502876,477733,16827,16397,16154,17028,17629,19231,20098,20819,20481,21090,20537,20194,20232,19980,19615,19315,18943,18220,18031,17012,15756,15070,14630,15064,10649,11615,11951,12431,11221,9951,10434,9807,9852,9854,9720,10211,10382,10407,10886,10625,11362,11494,11489,11241,11353,11556,11072,11215,11391,11231,11184,10766,10426,10003,10083,10147,9781,9774,9624,9367,9796,9274,9034,8938,8257,8078,7704,7398,6795,6931,7048,6578,6028,5747,5607,5067,4666,4516,4092,3536,3345,3127,2725,2270,2148,8996
1969-01-01,MI,971876,35666,7820291,4504356,4323477,163790,159901,156208,161267,166160,178978,188387,189794,192728,199716,197048,194882,197639,196903,191839,184296,178973,172196,168369,157313,137823,133839,136553,147102,109022,117692,120621,131214,115310,104978,101932,97154,95319,91522,93553,95055,91975,93784,95763,100314,106330,105287,108550,108880,109143,109332,106417,105812,107701,103339,99796,97776,94207,91544,89326,88500,84898,81975,77491,74164,73625,68858,66754,62209,60502,58048,55066,52751,47087,47271,46578,42113,39153,38069,36860,34226,31681,30093,26462,23258,21574,19067,16178,13376,12125,47469
1969-01-01,MN,33385,29418,3716120,1929686,1849237,67399,66126,63916,65992,69589,76228,81486,84849,85223,88994,86391,82824,82612,81667,79771,77742,76032,74162,73155,66962,57836,55095,55494,60172,45112,49388,50041,54046,47589,44794,43568,41084,40115,39269,38396,38308,38080,38179,38709,39272,40443,40482,40826,41479,41067,41325,40555,40868,41133,39593,39322,39824,38051,37842,37830,37233,35750,35818,34529,32821,33363,32102,30335,29496,28990,27648,27274,25959,24128,23687,24931,22894,21355,21169,20266,19038,17965,16946,15315,13791,12642,11229,9717,8434,7529,30262
1969-01-01,MO,477448,14099,4158782,2406644,2243685,75972,72800,69889,73580,76998,85968,90432,93772,95076,97464,96731,92697,93497,93652,92325,88532,86002,83116,83908,82276,72188,67463,69000,73583,55107,59543,60788,64456,57695,54586,53437,49970,49039,46988,48543,49251,48742,49692,49672,50594,52797,52113,53531,53461,53763,54778,54249,53703,54552,52786,52747,50473,48085,47560,47810,48481,48311,48364,47641,47028,48201,44495,45157,42776,42131,40031,39062,36676,34278,34718,33928,30723,28499,28062,27040,25383,23081,22449,20045,17946,17576,15405,12744,10969,9934,41763
1969-01-01,MS,810332,6664,1370163,1128420,1058739,43386,41497,39586,40632,42098,46546,48372,49272,48673,49472,51614,48997,49789,50402,50639,49412,46971,45261,44638,42973,37805,33460,32294,32799,24469,26319,25732,26845,24110,22875,24564,22332,22394,21089,21950,21699,21138,21969,21159,22112,23732,22505,22975,23600,22803,22160,21914,22474,22541,21874,24921,21913,19925,20031,20048,20740,20506,21404,20716,21309,21691,19335,19607,18326,18567,18222,16656,15847,13851,15458,14152,11302,11298,10273,10018,9546,8205,7914,7104,6052,6244,5099,4213,3832,3439,15473
1969-01-01,MT,1956,27894,654372,342671,341551,11570,11014,10607,11134,11507,13192,14348,15259,15353,16021,16034,15340,15802,15725,15329,15058,14753,14490,13130,11681,10309,10051,9707,9869,7560,8237,8154,8839,7771,7638,7779,7224,7115,7295,7033,7326,6915,7026,7282,7382,8043,7817,7719,7578,7665,7531,7777,7602,8075,7605,8164,8126,7812,7704,7304,7310,7060,6856,6708,6428,6291,5744,5632,5198,4952,4798,4616,4261,3815,3889,3801,3400,3200,3173,3096,3158,3035,2890,2749,2381,2446,2210,1953,1690,1521,5580
1969-01-01,NC,1112881,49617,3851170,2556405,2457263,89844,87802,84064,84695,87506,95255,100948,102135,102223,103345,105396,100656,102012,104022,103834,101746,100666,100021,105127,106673,100466,94375,88922,90086,67925,71369,70107,73575,65531,61626,62586,56688,57666,55754,57824,59118,57373,58246,56656,56365,61564,60420,61013,59601,59801,60932,58796,58810,59257,57018,59230,54165,49750,49561,48461,49132,46955,47695,45405,44246,44673,40210,38368,35503,36320,33952,31555,29627,26822,28589,26259,22961,21059,19725,18928,17395,15486,14467,12841,11454,10875,9554,7438,6898,5728,24941
1969-01-01,ND,2420,14860,595174,303867,308587,10608,9920,9551,10166,10532,12043,12827,13501,13698,14342,14346,14029,14027,13979,14196,13572,13183,13197,12576,11572,10331,9791,9064,8894,6800,7132,6900,7052,6220,6094,6101,5972,5882,6003,6268,6326,6306,6332,6409,6225,6811,6657,6659,6493,6600,6437,6333,6345,6438,6315,6439,6439,6406,6423,6445,6186,6273,6196,6331,6054,5962,5667,5484,5140,5044,4714,4548,4207,3821,3860,3944,3670,3346,3199,3116,2970,2816,2593,2409,2145,2161,1907,1567,1441,1287,5189
1969-01-01,NE,39082,9189,1425513,754524,719260,24311,23621,22831,23529,24717,27643,29894,30856,31421,32283,31496,30361,30037,30462,30171,29081,28867,28139,28430,27377,23937,22404,21694,22547,16876,17844,17928,18752,16874,15783,16132,15290,15209,15059,14939,15722,15323,15357,15735,16287,16547,16498,16435,16326,16499,16542,16336,16134,16548,15612,15996,15333,14931,14535,14615,14437,14549,14570,14237,14053,14446,13768,13150,12990,12524,12012,11463,11145,10403,10620,11233,10117,9520,9430,8901,8664,8214,7762,6911,6454,6008,5316,4547,3905,3476,14853
